SiteNumber,SiteCode,Type,LocationID,Region,City,FacilityName,Ownership,Use,Owner,OwnerAddress,OwnerCityStateZIP,OwnerPhone,Manager,ManagerPhone
50033.01,H,HELIPORT,'AK38,ANCHORAGE,ANCHORAGE,PROVIDENCE HOSPITAL,PRIVATE,PRIVATE,PROVIDENCE HEALTH SYSTEM,3200 PROVIDENCE DR,"ANCHORAGE, AK 99508",907-562-2211,VICKI FACIANE,907-212-5840
50033.02,A,AIRPORT,'AA06,ANCHORAGE,ANCHORAGE,SIXMILE LAKE,PRIVATE,PRIVATE,US AIR FORCE,"10471 20TH ST, SUITE 160","ELMENDORF AFB, AK 99506",907-552-2107, MAJOR ROBERT PECK,907-552-2107
50036.1,A,AIRPORT,'9AK5,ANCHORAGE,ANCHORAGE,SKY HARBOR,PRIVATE,PRIVATE,SKY HBR PRPTY OWNER ASSOC,11641 BARR RD,"ANCHORAGE, AK 99516",,GORDON A. LEONARD,907-345-4896
50034,A,AIRPORT,'ANC,ANCHORAGE,ANCHORAGE,TED STEVENS ANCHORAGE INTL,PUBLIC,PUBLIC,STATE OF ALASKA DOTPF,BOX 196960,"ANCHORAGE, AK 99519",907-266-2525,JOHN PARROTT,907-266-2525
50033.03,H,HELIPORT,'AA04,ANCHORAGE,ANCHORAGE,VIKING,PRIVATE,PRIVATE,PRUHS CORPORATION,2193 VIKING DR,"ANCHORAGE, AK 99501",907-250-8385,DANA PRUHS,907-250-8385
50037.6,C,SEAPLANE BASE,'AGN,SITKA,ANGOON,ANGOON,PUBLIC,PUBLIC,ALASKA DOT&PF SOUTHCOAST REGION,6860 GLACIER HWY,"JUNEAU, AK 99801",907-465-1786,PAUL KHERA,907-465-1786
50038,A,AIRPORT,'ANI,KUSKOKWIM,ANIAK,ANIAK,PUBLIC,PUBLIC,ALASKA DOT&PF CENTRAL REGION,PO BOX 196900,"ANCHORAGE, AK 99519",907-269-0749,RICHARD CILETTI,907-675-4345
50039,A,AIRPORT,'ANN,KETCHIKAN GATEWAY,ANNETTE,ANNETTE ISLAND,PRIVATE,PRIVATE,METLAKATLA INDIAN COMM,PO BOX 8,"METLAKATLA, AK 99926",907-886-4441,MAYOR AUDREY M. L. HUDSON,907-886-4441
50039.01,C,SEAPLANE BASE,'Z43,KETCHIKAN GATEWAY,ANNETTE,TAMGAS HARBOR,PUBLIC,PUBLIC,COUNCIL OF ANNETTE IS,PO BOX 8,"METLAKATLA, AK 99926",907-886-4441,CHIEF OF POLICE,907-886-4011
50039.1,A,AIRPORT,'ANV,KUSKOKWIM,ANVIK,ANVIK,PUBLIC,PUBLIC,ALASKA DOT&PF NORTHERN REGION,2301 PEGER RD,"FAIRBANKS, AK 99709",907-451-2200,ERIK WEINGARTH,907-438-2416
50039.11,C,SEAPLANE BASE,'K40,KUSKOKWIM,ANVIK,ANVIK,PUBLIC,PUBLIC,PUBLIC DOMAIN,,,,,
50039.8,A,AIRPORT,'ARC,UPPER YUKON,ARCTIC VILLAGE,ARCTIC VILLAGE,PUBLIC,PUBLIC,VENETIE TRIBAL GOVN,PO BOX 81080,"VENETIE, AK 97781",907-849-8165,JONATHAN JOHNS,907-587-5523
50040.5,A,AIRPORT,'AKA,ALEUTIAN ISLANDS,ATKA,ATKA,PUBLIC,PUBLIC,ALASKA DOT&PF SOUTHCOAST REGION,PO BOX 112506,"JUNEAU, AK 99811",907-465-1779,DALE RUCKMAN,907-581-1786
50044,A,AIRPORT,'4A2,BETHEL,ATMAUTLUAK,ATMAUTLUAK,PUBLIC,PUBLIC,ALASKA DOT&PF CENTRAL REGION,PO BOX 196900,"ANCHORAGE, AK 99519",907-269-0760,LAWRENCE DAVIS,907-543-2498
50044.5,A,AIRPORT,'ATK,NORTH SLOPE,ATQASUK,ATQASUK EDWARD BURNELL SR MEMORIAL,PUBLIC,PUBLIC,NORTH SLOPE BOROUGH,PO BOX 69,"BARROW, AK 99723",907-852-2611,TOM D. NICOLOS,907-852-2611
50046,A,AIRPORT,'ATU,ALEUTIAN ISLANDS,ATTU,CASCO COVE CGS,,PRIVATE,US COAST GUARD,PO BOX 3-5000,"JUNEAU, AK 99802",907-392-3315,COMMANDER LORAN STATION,907-463-2970
50053,C,SEAPLANE BASE,'BNF,WRANGELL-PETERSBURG,BARANOF,BARANOF WARM SPRINGS FLOAT AND SEAPLANE FL,PUBLIC,PUBLIC,CITY AND BOROUGH OF SITKA,100 LINCOLN STREET,"SITKA, AK 99835",907-747-3439,HARBORMASTER,907-747-3439
50054.3,A,AIRPORT,'BRW,NORTH SLOPE,BARROW,WILEY POST-WILL ROGERS MEMORIAL,PUBLIC,PUBLIC,ALASKA DOT&PF NORTHERN REGION,2301 PEGER RD,"FAIRBANKS, AK 99701",907-451-2206,JOHN OLSEN,907-852-6199
50055.5,A,AIRPORT,'BTI,UPPER YUKON,BARTER ISLAND LRRS,BARTER ISLAND,PUBLIC,PUBLIC,NORTH SLOPE BOROUGH,PO BOX 69,"BARROW, AK 99723",907-852-2611,TOM NICOLOS,907-852-2611
50056,C,SEAPLANE BASE,'BQV,SKAGWAY-YAKUTAT,BARTLETT COVE,BARTLETT COVE,PUBLIC,PUBLIC,NPS GLACIER BAY NATL PARK & PRES,NATL PARK SVC BOX 1781,"JUNEAU, AK 99801",,SUPERINTENDANT OF GLACIER BAY,907-697-2685
50056.5,A,AIRPORT,'Z47,NOME,BASIN CREEK,BASIN CREEK,PRIVATE,PUBLIC,ENGSTROM DREDGING CO,PO BOX 536,"NOME, AK 99762",907-443-2586,RON ENGSTROM,907-443-2586
50057,A,AIRPORT,'AK02,KOBUK,BEAR CREEK,BEAR CREEK 1,PUBLIC,PRIVATE,PUBLIC DOMAIN,,,,,
50057.2,A,AIRPORT,'Z48,KUSKOKWIM,BEAR CREEK,BEAR CREEK 3,PUBLIC,PUBLIC,PUBLIC DOMAIN,,,,,
50057.4,A,AIRPORT,'Z52,ALEUTIAN ISLANDS,BEAR LAKE,JOHNSONS LANDING,PUBLIC,PUBLIC,PUBLIC DOMAIN,PO BOX 1267,"KENAI, AK 99611",907-283-4117.,WARREN JOHNSON,907-283-4117
50058,A,AIRPORT,'WBQ,UPPER YUKON,BEAVER,BEAVER,PUBLIC,PUBLIC,ALASKA DOT&PF NORTHERN REGION,2301 PEGER RD,"FAIRBANKS, AK 99709",907-451-5280,TOM WILLIAMS,907-451-5280
50059.9,C,SEAPLANE BASE,'KBE,KETCHIKAN GATEWAY,BELL ISLAND,BELL ISLAND HOT SPRINGS,PRIVATE,PRIVATE,DONALD PETERSON,,"BELL ISLAND, AK 99901",,DONALD PETERSON,
50059.95,A,AIRPORT,'BLG,KENAI-COOK INLET,BELUGA,BELUGA,PRIVATE,PRIVATE,"HILCORP ALASKA, LLC","3800 CENTERPOINT DR, SUITE 1400","ANCHORAGE, AK 99503",907-777-8300,"HILCORP ALASKA, LLC",907-777-8300
50060.2,C,SEAPLANE BASE,'Z59,BETHEL,BETHEL,BETHEL,PUBLIC,PUBLIC,PUBLIC DOMAIN,,,,,
50061.1,A,AIRPORT,'BET,BETHEL,BETHEL,BETHEL,PUBLIC,PUBLIC,ALASKA DOT&PF CENTRAL REGION,PO BOX 196900,"ANCHORAGE, AK 99519",907-269-0749,LJ DAVIS,907-543-2495
50060.1,C,SEAPLANE BASE,'Z58,BETHEL,BETHEL,HANGAR LAKE,PUBLIC,PUBLIC,PUBLIC DOMAIN,,,,,
50062,A,AIRPORT,'BTT,YUKON-KOYUKUK,BETTLES,BETTLES,PUBLIC,PUBLIC,ALASKA DOT&PF NORTHERN REGION,2301 PEGER RD,"FAIRBANKS, AK 99709",907-451-5280,TOM WILLIAMS,907-451-5280
50062.01,C,SEAPLANE BASE,'2A4,YUKON-KOYUKUK,BETTLES,VOR LAKE WATERLANE,PUBLIC,PUBLIC,STATE OF AK DOTPF N REG,2301 PEGER RD,"FAIRBANKS, AK 99709",907-451-5230,JEREMY WORRALL,907-451-5230
50068.65,C,SEAPLANE BASE,'D71,MATANUSKA-SUSITNA,BIG LAKE,BEAVER LAKE,PUBLIC,PUBLIC,"STATE OF ALASKA, DNR","550 W 7TH AVE, SUITE 900","ANCHORAGE, AK 99501",907-269-8400,BILLY CRANFORD,907-892-7575
50068.6,A,AIRPORT,'BGQ,MATANUSKA-SUSITNA,BIG LAKE,BIG LAKE,PUBLIC,PUBLIC,ALASKA DOT&PF CENTRAL REGION,PO BOX 196900,"ANCHORAGE, AK 99519",907-269-0770,STEVE BANSE,907-745-2159
50068.69,C,SEAPLANE BASE,'6A7,MATANUSKA-SUSITNA,BIG LAKE,BROCKER LAKE,PUBLIC,PUBLIC,STATE OF AK DNR,"550 W 7TH AVE, STE 900","ANCHORAGE, AK 99501",907-269-8400,JOSEPH FISCHER,907-376-0227
50068.681,A,AIRPORT,'95AK,MATANUSKA-SUSITNA,BIG LAKE,BROWN'S HOMESTEAD,PRIVATE,PRIVATE,BILL & KAYLENE BROWN,4405 FAIRMONT RD,"ANCHORAGE, AK 99516",907-345-0403,BILL & KAYLENE BROWN,907-345-0403
50068.66,H,HELIPORT,'68AK,MATANUSKA-SUSITNA,BIG LAKE,COWELL'S,PRIVATE,PRIVATE,FULLER A. COWELL,927 1ST STREET,"FAIRBANKS, AK 99701",907-227-7333,FULLER A. COWELL,907-227-7333
50068.63,A,AIRPORT,'9AK7,MATANUSKA-SUSITNA,BIG LAKE,CUBDIVISION,PRIVATE,PRIVATE,CUBDIVISION LOT OWNERS,PO BOX 521795,"BIG LAKE, AK 99652",907-892-8244,LEE BUDDE,907-892-8244
50068.71,A,AIRPORT,'AA10,MATANUSKA-SUSITNA,BIG LAKE,EAGLES ROOST,PRIVATE,PRIVATE,GUY TURNER,6960 E BEACHCRAFT RD,"WASILLA, AK 99654",928-231-0249,GUY TURNER,928-231-0249
50068.58,A,AIRPORT,'08AK,MATANUSKA-SUSITNA,BIG LAKE,FISHER,PRIVATE,PRIVATE,ROBERT B. FISHER,BOX 520209,"BIG LAKE, AK 99652",907-892-8209,ROBERT B. FISHER,907-892-8209
50068.5,A,AIRPORT,'02AA,MATANUSKA-SUSITNA,BIG LAKE,H & H FIELD,PRIVATE,PRIVATE,ROBERT HUTCHISON,18302 W JENNY LN,"BIG LAKE, AK 99652",907-892-4523,ROBERT HUTCHISON,907-892-4523
50068.72,C,SEAPLANE BASE,'AK48,MATANUSKA-SUSITNA,BIG LAKE,HAGGARDS LANDING SEAPLANE BASE,PRIVATE,PRIVATE,WES ERB,PO BOX 520493,"BIG LAKE, AK 99652",907-441-2382,,
50068.53,C,SEAPLANE BASE,'86AK,MATANUSKA-SUSITNA,BIG LAKE,HOPPE'S,PRIVATE,PRIVATE,GREG M. HOPPE,PO BOX 520636,"BIG LAKE, AK 99652",907-892-7169,GREG M. HOPPE,907-892-7169
50068.52,C,SEAPLANE BASE,'AA02,MATANUSKA-SUSITNA,BIG LAKE,HORSESHOE LAKE,PRIVATE,PRIVATE,WILLIAM L. KRAMER,PO BOX 521783,"BIG LAKE, AK 99652",907-440-5000,WILLIAM L. KRAMER,907-440-5000
50068.67,C,SEAPLANE BASE,'L95,MATANUSKA-SUSITNA,BIG LAKE,JONES LANDING,PUBLIC,PUBLIC,STATE OF AK DNR,"550 W 7TH AVE, SUITE 900","ANCHORAGE, AK 99652",907-269-8400,ROBERT JONES,907-892-7369
50068.57,A,AIRPORT,'AK86,MATANUSKA-SUSITNA,BIG LAKE,KRAMER,PRIVATE,PRIVATE,WILLIAM L. KRAMER,PO BOX 521783,"BIG LAKE, AK 99652",907-440-5000,WILLIAM L. KRAMER,907-440-5000
50068.54,C,SEAPLANE BASE,'91AK,MATANUSKA-SUSITNA,BIG LAKE,KUCERA,PRIVATE,PRIVATE,GRACE WHEDBEE,PO BOX 520045,"BIG LAKE, AK 99652",907-892-5556,GRACE WHEDBEE,907-892-5556
50068.64,A,AIRPORT,'63AK,MATANUSKA-SUSITNA,BIG LAKE,KUCERA RESIDENCE,PRIVATE,PRIVATE,GRACE WHEDBEE,PO BOX 520045,"BIG LAKE, AK 99652",907-892-5556,GRACE WHEDBEE,907-892-5556
50068,C,SEAPLANE BASE,'85AK,ALEUTIAN ISLANDS,BIG LAKE,MARION,PRIVATE,PRIVATE,MIKE GRAVES,PO BOX 520815,"BIG LAKE, AK 99602",907-841-1977,MIKE GRAVES,907-841-1977
50068.56,A,AIRPORT,'20AK,MATANUSKA-SUSITNA,BIG LAKE,OWEN FIELD,PRIVATE,PRIVATE,MIKE GRAVES,PO BOX 520815,"BIG LAKE, AK 99602",907-841-1977,MIKE GRAVES,907-841-1977
50068.68,H,HELIPORT,'AA07,ANCHORAGE,BIG LAKE,SADDLEBACK ISLAND,PRIVATE,PRIVATE,FULLER A. COWELL,927 1ST ST,"FAIRBANKS, AK 99701",907-227-7333,FULLER  A. COWELL,907-227-7333
50068.61,H,HELIPORT,'AK87,MATANUSKA-SUSITNA,BIG LAKE,TEAM LEVINE,PRIVATE,PRIVATE,LARRY A. LEVINE,3301 PRINCETON WAY,"ANCHORAGE, AK 99508",907-727-1963,LARRY A. LEVINE,907-727-1963
50068.62,A,AIRPORT,'AK95,MATANUSKA-SUSITNA,BIG LAKE,TWIN LAKE,PRIVATE,PRIVATE,EDMUND MONT MAHONEY,PO BOX 190905,"ANCHORAGE, AK 99519",907-360-6190,EDMUND MONT MAHONEY,907-360-6190
50068.59,A,AIRPORT,'09AK,MATANUSKA-SUSITNA,BIG LAKE,WEST BEAVER,PRIVATE,PRIVATE,KEN THORALL,1010 N ROGERS RD,"BIG LAKE, AK 99762",907-232-5711,KEN THORALL,907-232-5711
50068.51,C,SEAPLANE BASE,'AA01,MATANUSKA-SUSITNA,BIG LAKE,WEST BEAVER,PRIVATE,PRIVATE,KEN THORALL,6830 BEECHCRAFT RD,"WASILLA, AK 99654",907-232-5711,KEN THORALL,907-232-5711
50068.7,A,AIRPORT,'37AK,KODIAK ISLAND,BIG MOUNTAIN,BIG MOUNTAIN,US AIR FORCE,PRIVATE,US AIR FORCE,"10471 20TH ST, SUITE 361","ELMENDORF AFB, AK 99506",907-552-3442,JOHN SMITH,907-552-8757
50068.78,A,AIRPORT,'Z91,FAIRBANKS NORTH STAR,BIRCH CREEK,BIRCH CREEK,PUBLIC,PUBLIC,ALASKA DOT&PF NORTHERN REGION,2301 PEGER RD,"FAIRBANKS, AK 99709",907-451-5280,TOM WILLIAMS,907-451-5280
50069,A,AIRPORT,'BCV,ANCHORAGE,BIRCHWOOD,BIRCHWOOD,PUBLIC,PUBLIC,ALASKA DOT&PF CENTRAL REGION,PO BOX 196900,"ANCHORAGE, AK 99519",907-269-0770,TOM GRMAN,907-338-1432
50070,A,AIRPORT,'5BK,FAIRBANKS NORTH STAR,BLACK RAPIDS,BLACK RAPIDS,PUBLIC,PUBLIC,BUREAU OF LAND MGMT,PO BOX 147,"GLENALLEN, AK 99588",907-822-3217,BRENDA BECKER,907-822-3217
50071.72,A,AIRPORT,'AK97,CORDOVA-MCCARTHY,BOSWELL BAY,BOSWELL BAY,PUBLIC,PRIVATE,US FOREST SERVICE,CORDOVA AK 99574,"ELMENDORF AFB, AK 99506",,UNKNOWN,
50072,A,AIRPORT,'BYA,UPPER YUKON,BOUNDARY,BOUNDARY,PUBLIC,PUBLIC,ALASKA DOT&PF NORTHERN REGION,2301 PEGER RD,"FAIRBANKS, AK 99709",907-451-2200,DENNIS BISHOP,907-883-5128
50072.5,A,AIRPORT,'KTS,NOME,BREVIG MISSION,BREVIG MISSION,PUBLIC,PUBLIC,ALASKA DOT&PF NORTHERN REGION,2301 PEGER RD,"FAIRBANKS, AK 99701",907-451-2200,JOSEPH JOHNSON,907-443-2500
50073,A,AIRPORT,'AK98,NOME,BUCK CREEK,BUCK CREEK,PUBLIC,PRIVATE,PUBLIC DOMAIN,,,,,
50073.1,A,AIRPORT,'BVK,UNORGANIZED,BUCKLAND,BUCKLAND,PUBLIC,PUBLIC,ALASKA DOT&PF NORTHERN REGION,2301 PEGER ROAD,"FAIRBANKS, AK 99701",907-451-2200,ALVIN WERNEKE,907-442-3147
50075.1,A,AIRPORT,'AK75,UNORGANIZED,CANDLE,CANDLE 2,PRIVATE,PRIVATE,ELITE PORTFOLIO LLC,"50 W BROADWAY, SUITE 900","SALT LAKE CITY, UT 84101",801-983-2180,DAVID THACKER,801-455-5200
50078,A,AIRPORT,'TTW,MATANUSKA-SUSITNA,CANTWELL,CANTWELL,PRIVATE,PUBLIC,BILL SIMMS,3851 CHINIAK BAY DR,"ANCHORAGE, AK 99515",907-522-3355,RAY ATKINS,907-768-2143
50078.12,A,AIRPORT,'15AK,YUKON-KOYUKUK,CANTWELL,GOLDEN NORTH AIRFIELD,PRIVATE,PRIVATE,DALE NORD,PO BOX 129,"CANTWELL, AK 99729",907-768-2162,DALE NORD,907-768-2162
50080.6,H,HELIPORT,'CDE,WRANGELL-PETERSBURG,CAPE DECISION,CAPE DECISION LIGHTHOUSE,PUBLIC,PRIVATE,CAPE DECISION LIGHTHOUSE SOCIETY,224 KATLIAN ST,"SITKA, AK 99835",253-678-5303,CAPE DECISION LIGHTHOUSE SOCIETY,907-747-7803
50082,A,AIRPORT,'LUR,BARROW,CAPE LISBURNE,CAPE LISBURNE LRRS,US AIR FORCE,PRIVATE,US AIR FORCE,11 AIR FORCE ELMENDORF AFB,"ANCHORAGE, AK 99506",,US AIR FORCE,907-552-9730
50084,A,AIRPORT,'EHM,BETHEL,CAPE NEWENHAM,CAPE NEWENHAM LRRS,US AIR FORCE,PRIVATE,US AIR FORCE,"11 ACW, ELMENDORF AFB","ANCHORAGE, AK 99506",,COMMANDER,907-552-5105
50086,C,SEAPLANE BASE,'Z71,PRINCE OF WALES,CAPE POLE,CAPE POLE,PRIVATE,PUBLIC,L.O.G. LOG CO.,CAPE POLE SEAPLANE BASE,"CAPE POLE, AK",,,
50088,A,AIRPORT,'CZF,KUSILVAK,CAPE ROMANZOF,CAPE ROMANZOF LRRS,US AIR FORCE,PRIVATE,US AIR FORCE,"10471 20TH ST, SUITE 361","ELMENDORF AFB, AK 99506",907-552-3442,NICK HILTON,907-552-4400
50088.3,A,AIRPORT,'26AK,ALEUTIAN ISLANDS,CAPE SARICHEF,CAPE SARICHEF,PUBLIC,PRIVATE,US FISH AND WILDLIFE SERVICE,1011 E TUDOR,"ANCHORAGE, AK 99503",,IZEMBEK NATIONAL WILDLIFE REFUGE,907-532-2445
50088.53,H,HELIPORT,'CSP,SKAGWAY-YAKUTAT,CAPE SPENCER,CAPE SPENCER C G,PUBLIC,PRIVATE,US GOVT,USCG 17TH DIST BOX 3-5000,"JUNEAU, AK 99801",,O I C,907-586-7351
50090,A,AIRPORT,'CEM,UPPER YUKON,CENTRAL,CENTRAL,PUBLIC,PUBLIC,ALASKA DOT&PF NORTHERN REGION,2301 PEGER RD,"FAIRBANKS, AK 99709",907-451-2200,TOM WILLIAMS,907-451-5276
50092,A,AIRPORT,'CIK,UPPER YUKON,CHALKYITSIK,CHALKYITSIK,PUBLIC,PUBLIC,ALASKA DOT&PF NORTHERN REGION,2301 PEGER RD,"FAIRBANKS, AK 99709",907-451-5280,TOM WILLIAMS,907-451-5280
50093.95,A,AIRPORT,'5CD,UPPER YUKON,CHANDALAR CAMP,CHANDALAR SHELF,PUBLIC,PUBLIC,ALASKA DOT&PF NORTHERN REGION,2301 PEGER RD,"FAIRBANKS, AK 99709",907-451-2200,JEFF RUSSELL,907-451-2207
