SiteNumber,SiteCode,Type,LocationID,Region,City,FacilityName,Ownership,Use,Owner,OwnerAddress,OwnerCityStateZIP,OwnerPhone,Manager,ManagerPhone
50029.1,A,AIRPORT,'6A8,NORTHWEST ARCTIC,ALLAKAKET,ALLAKAKET,PUBLIC,PUBLIC,ALASKA DOT&PF NORTHERN REGION,2301 PEGER RD,"FAIRBANKS, AK 99709",907-451-5280,TOM WILLIAMS,907-451-5280
50029.61,A,AIRPORT,'AFM,NORTHWEST ARCTIC,AMBLER,AMBLER,PUBLIC,PUBLIC,ALASKA DOT&PF NORTHERN REGION,2301 PEGER RD,"FAIRBANKS, AK 99709",907-451-2200,ALVIN WERNEKE,907-442-3147
50031.0,A,AIRPORT,'80A,YUKON-KOYUKUK,AMERICAN CREEK,AMERICAN CREEK,PUBLIC,PRIVATE,"DNR-DIV. OF MINING, LAND, WATER",AMOOK PASS,"FAIRBANKS, AK 99709",907-451-2740,,907-847-2203
50031.5,A,SEAPLANE BASE,'AK81,KODIAK ISLAND,AMOOK BAY,ANAKTUVUK PASS,PRIVATE,PRIVATE,MIKE MUNSEY,AMOOK PASS,"KODIAK, AK 99615",907-852-2611,MIKE MUNSEY,907-847-2203
50032.0,A,AIRPORT,'AKP,YUKON-KOYUKUK,ANAKTUVUK PASS,ANCHOR RIVER AIRPARK,PUBLIC,PUBLIC,NORTH SLOPE BOROUGH,PO BOX 69,"BARROW, AK 99723",907-852-2611,TOM D. NICOLOS,907-852-0371
50037.3,A,AIRPORT,'AK00,KENAI PENINSULA,ANCHOR POINT,ANCHOR RIVER AIRPARK,PRIVATE,PRIVATE,ANCHOR RIVER AIRPARK OWNERS ASSOC,PO BOX 913,"ANCHOR POINT, AK 99556",907-235-0789,JIM DRESS,907-235-0789
50037.31,A,HELIPORT,'00AK,SEWARD,ANCHORAGE,LOWELL FIELD,PRIVATE,PRIVATE,DAN PRESLEY,24436 MISTY LN,"ANCHOR POINT, AK 99556",907-398-6664,DAN PRESLEY,907-567-3986
50033.1,H,HELIPORT,'2OK,ANCHORAGE,ANCHORAGE,ALASKA RGNL HOSPITAL,PUBLIC,PUBLIC,MUNICIPALITY OF ANCHORAGE,800 MERRILL FIELD DR,"ANCHORAGE, AK 99501",907-343-6303,"PAUL BOWERS, A.A.E.",907-793-5555
50033.24,H,HELIPORT,'99AA,ANCHORAGE,ANCHORAGE,ANCHORAGE LOFTS HOTEL HELIPORT,PRIVATE,PUBLIC,H.P. HOLDINGS INC.,239 W 4TH AVE,"ANCHORAGE, AK 99516",907-688-0910,RANDY COMER,907-793-5555
50033.5,A,AIRPORT,'A13,ANCHORAGE,ANCHORAGE,BOLD,PUBLIC,PUBLIC,STATE OF AK DNR,18620 SEWARD HWY,"ANCHORAGE, AK 99516",907-688-0910,"KEITH WILSON, PARK RANGER",907-688-0910
50033.0,A,AIRPORT,'CSR,ANCHORAGE,ANCHORAGE,CAMPBELL AIRSTRIP,PUBLIC,PRIVATE,US BUREAU OF LAND MANAGEMENT,4700 BLM RD,"ANCHORAGE, AK 99507",907-267-1357,DAVE DOUCET,907-267-1357
50033.2,H,HELIPORT,'AK82,ANCHORAGE,ANCHORAGE,CAMPBELL BLM,PUBLIC,PRIVATE,US BUREAU OF LAND MANAGEMENT,4700 BLM RD,"ANCHORAGE, AK 99507",907-522-5000,DAVE DOUCET,907-267-1357
50035.2,C,SEAPLANE BASE,'3C3,ANCHORAGE,ANCHORAGE,CAMPBELL LAKE SPB,PRIVATE,PRIVATE,CAMPBELL LAKE OWNERS INC,9500 INDEPENDENCE DR,"ANCHORAGE, AK 99507",907-522-5000,DR. JOHN SPARAGA,907-552-2444
50036.0,A,AIRPORT,'EDF,ANCHORAGE,ANCHORAGE,ELMENDORF AFB,US AIR FORCE,PRIVATE,US AIR FORCE,30SS/DOFJ,"ELMENDORF AFB, AK 99506",907-552-2107,AIRFIELD MGR,907-552-2444
50036.01,H,HELIPORT,'AK91,ANCHORAGE,ANCHORAGE,ELMENDORF HOSPITAL,US AIR FORCE,PRIVATE,US AIR FORCE,700 N BONIFACE PKWY,"ELMENDORF AFB, AK 99506",907-552-2444,AIRFIELD MANAGER,907-269-1138
50036.02,A,AIRPORT,'6AK5,ANCHORAGE,ANCHORAGE,FLYING CROWN,PUBLIC,PRIVATE,US FEDERAL AVIATION ASSOCIATION,700 N BONIFACE PKWY,"ANCHORAGE, AK 99506",,DISTRICT OFFICE MANAGER,907-269-1138
50033.4,A,SEAPLANE BASE,'AK12,ANCHORAGE,ANCHORAGE,LAKE HOOD,PRIVATE,PRIVATE,FLYING CROWN/OCEANVIEW NORTH,910 HARBOR CIR,"ANCHORAGE, AK 99515",907-245-1932,CHARLES FRYER,907-245-1932
50037.0,C,SEAPLANE BASE,'LHD,ANCHORAGE,ANCHORAGE,LAKE HOOD,PUBLIC,PUBLIC,STATE OF AK -- DOT&PF,PO BOX 196960,"ANCHORAGE, AK 99519",907-266-2741,TIM COONS,907-266-2741
50035.0,A,AIRPORT,'MRI,ANCHORAGE,ANCHORAGE,MERRILL FIELD,PRIVATE,PUBLIC,PROVIDENCE HEALTH SYSTEM,800 MERRIL FIELD DR,"ANCHORAGE, AK 99501",907-343-6303,"PAUL BOWERS, A.A.E.",907-212-5840
50033.01,H,HELIPORT,'AK38,ANCHORAGE,ANCHORAGE,PROVIDENCE HOSPITAL,PRIVATE,PRIVATE,PROVIDENCE HEALTH SYSTEM,3200 PROVIDENCE DR,"ANCHORAGE, AK 99508",907-562-2211,VICKI FACIANE,907-212-5840
50033.02,A,AIRPORT,'AA06,ANCHORAGE,ANCHORAGE,SKY HARBOR,PRIVATE,PRIVATE,US AIR FORCE,11641 BARR RD,"ELMENDORF AFB, AK 99506",, MAJOR ROBERT PECK,907-552-2107
50036.1,A,AIRPORT,'9AK5,ANCHORAGE,ANCHORAGE,SKY HARBOR,PRIVATE,PRIVATE,SKY HBR PRPTY OWNER ASSOC,11641 BARR RD,"ANCHORAGE, AK 99516",,GORDON A. LEONARD,907-266-2525
50034.0,A,HELIPORT,'ANC,ANCHORAGE,ANCHORAGE,TED STEVENS ANCHORAGE INTL,PUBLIC,PRIVATE,STATE OF ALASKA DOTPF,BOX 196960,"ANCHORAGE, AK 99501",907-266-2525,JOHN PARROTT,907-266-2525
50033.03,H,HELIPORT,'AA04,ANCHORAGE,ANCHORAGE,VIKING,PRIVATE,PRIVATE,PRUHS CORPORATION,6860 GLACIER HWY,"ANCHORAGE, AK 99501",907-250-8385,DANA PRUHS,907-250-8385
50037.6,C,SEAPLANE BASE,'AGN,SITKA,ANGOON,ANGOON,PUBLIC,PUBLIC,ALASKA DOT&PF CENTRAL REGION,PO BOX 196900,"JUNEAU, AK 99801",907-465-1786,PAUL KHERA,907-465-1786
50038.0,A,AIRPORT,'ANI,KUSKOKWIM,ANNETTE,ANIAK,PRIVATE,PUBLIC,ALASKA DOT&PF CENTRAL REGION,PO BOX 196900,"ANCHORAGE, AK 99519",907-269-0749,RICHARD CILETTI,907-675-4345
50039.0,A,AIRPORT,'ANN,KETCHIKAN GATEWAY,ANNETTE,ANNETTE ISLAND,PRIVATE,PRIVATE,METLAKATLA INDIAN COMM,PO BOX 8,"METLAKATLA, AK 99926",907-886-4441,CHIEF OF POLICE,907-886-4441
50039.01,C,SEAPLANE BASE,'Z43,KETCHIKAN GATEWAY,ANNETTE,TAMGAS HARBOR,PUBLIC,PUBLIC,ALASKA DOT&PF NORTHERN REGION,PO BOX 8,"METLAKATLA, AK 99926",907-451-2200,ERIK WEINGARTH,907-886-4011
50039.1,A,SEAPLANE BASE,'ANV,KUSKOKWIM,ANVIK,ANVIK,PUBLIC,PUBLIC,ALASKA DOT&PF NORTHERN REGION,2301 PEGER RD,"FAIRBANKS, AK 99709",907-451-2200,ERIK WEINGARTH,907-438-2416
50039.11,C,SEAPLANE BASE,'K40,KUSKOKWIM,ANVIK,ANVIK,PUBLIC,PUBLIC,VENETIE TRIBAL GOVN,,,907-849-8165,,907-587-5523
50039.8,A,AIRPORT,'ARC,UPPER YUKON,ARCTIC VILLAGE,ARCTIC VILLAGE,PUBLIC,PUBLIC,VENETIE TRIBAL GOVN,PO BOX 112506,"VENETIE, AK 97781",907-849-8165,JONATHAN JOHNS,907-587-5523
50040.5,A,AIRPORT,'AKA,BETHEL,ATKA,ATKA,PUBLIC,PUBLIC,ALASKA DOT&PF CENTRAL REGION,PO BOX 112506,"JUNEAU, AK 99811",907-465-1779,DALE RUCKMAN,907-581-1786
50044.0,A,AIRPORT,'4A2,BETHEL,ATMAUTLUAK,ATQASUK EDWARD BURNELL SR MEMORIAL,PUBLIC,PUBLIC,ALASKA DOT&PF CENTRAL REGION,PO BOX 196900,"ANCHORAGE, AK 99519",907-269-0760,LAWRENCE DAVIS,907-543-2498
50044.5,A,AIRPORT,'ATK,NORTH SLOPE,ATQASUK,ATQASUK EDWARD BURNELL SR MEMORIAL,PUBLIC,PUBLIC,NORTH SLOPE BOROUGH,PO BOX 69,"BARROW, AK 99723",907-852-2611,TOM D. NICOLOS,907-463-2970
50046.0,A,AIRPORT,'ATU,ALEUTIAN ISLANDS,ATTU,CASCO COVE CGS,,PRIVATE,CITY AND BOROUGH OF SITKA,100 LINCOLN STREET,"JUNEAU, AK 99802",907-392-3315,COMMANDER LORAN STATION,907-463-2970
50053.0,C,SEAPLANE BASE,'BNF,WRANGELL-PETERSBURG,BARANOF,BARANOF WARM SPRINGS FLOAT AND SEAPLANE FL,PUBLIC,PUBLIC,CITY AND BOROUGH OF SITKA,100 LINCOLN STREET,"SITKA, AK 99835",907-747-3439,JOHN OLSEN,907-747-3439
50054.3,A,AIRPORT,'BRW,NORTH SLOPE,BARTER ISLAND LRRS,WILEY POST-WILL ROGERS MEMORIAL,PUBLIC,PUBLIC,ALASKA DOT&PF NORTHERN REGION,2301 PEGER RD,"FAIRBANKS, AK 99701",907-451-2206,JOHN OLSEN,907-852-2611
50055.5,A,AIRPORT,'BTI,SKAGWAY-YAKUTAT,BARTER ISLAND LRRS,BARTLETT COVE,PUBLIC,PUBLIC,NORTH SLOPE BOROUGH,PO BOX 69,"BARROW, AK 99723",907-852-2611,SUPERINTENDANT OF GLACIER BAY,907-852-2611
50056.0,C,SEAPLANE BASE,'BQV,SKAGWAY-YAKUTAT,BARTLETT COVE,BARTLETT COVE,PUBLIC,PUBLIC,NPS GLACIER BAY NATL PARK & PRES,NATL PARK SVC BOX 1781,"JUNEAU, AK 99801",,SUPERINTENDANT OF GLACIER BAY,907-697-2685
50056.5,A,AIRPORT,'Z47,NOME,BASIN CREEK,BEAR CREEK 1,PRIVATE,PUBLIC,ENGSTROM DREDGING CO,PO BOX 536,"NOME, AK 99762",907-443-2586,RON ENGSTROM,
50057.0,A,AIRPORT,'AK02,KOBUK,BEAR CREEK,BEAR CREEK 1,PUBLIC,PRIVATE,PUBLIC DOMAIN,,,,,
50057.2,A,AIRPORT,'Z48,KUSKOKWIM,BEAR LAKE,JOHNSONS LANDING,PUBLIC,PUBLIC,PUBLIC DOMAIN,,,,,
50057.4,A,AIRPORT,'Z52,UPPER YUKON,BEAVER,JOHNSONS LANDING,PUBLIC,PUBLIC,PUBLIC DOMAIN,PO BOX 1267,"FAIRBANKS, AK 99709",907-451-5280,WARREN JOHNSON,907-283-4117
50058.0,A,AIRPORT,'WBQ,UPPER YUKON,BEAVER,BELL ISLAND HOT SPRINGS,PUBLIC,PRIVATE,ALASKA DOT&PF NORTHERN REGION,2301 PEGER RD,"BELL ISLAND, AK 99901",907-451-5280,TOM WILLIAMS,907-451-5280
50059.9,C,SEAPLANE BASE,'KBE,KETCHIKAN GATEWAY,BELL ISLAND,BELL ISLAND HOT SPRINGS,PRIVATE,PRIVATE,DONALD PETERSON,"3800 CENTERPOINT DR, SUITE 1400","BELL ISLAND, AK 99901",,DONALD PETERSON,907-777-8300
50059.95,A,AIRPORT,'BLG,KENAI-COOK INLET,BELUGA,BELUGA,PUBLIC,PRIVATE,PUBLIC DOMAIN,,"ANCHORAGE, AK 99503",907-777-8300,"HILCORP ALASKA, LLC",907-777-8300
50060.2,C,SEAPLANE BASE,'Z59,BETHEL,BETHEL,BETHEL,PUBLIC,PUBLIC,PUBLIC DOMAIN,,,907-269-0749,,
50061.1,A,SEAPLANE BASE,'BET,BETHEL,BETHEL,BETHEL,PUBLIC,PUBLIC,ALASKA DOT&PF CENTRAL REGION,PO BOX 196900,,907-269-0749,LJ DAVIS,
50060.1,C,AIRPORT,'Z58,BETHEL,BETHEL,HANGAR LAKE,PUBLIC,PUBLIC,PUBLIC DOMAIN,2301 PEGER RD,,,,
50062.0,C,AIRPORT,'BTT,YUKON-KOYUKUK,BETTLES,BETTLES,PUBLIC,PUBLIC,ALASKA DOT&PF NORTHERN REGION,2301 PEGER RD,"FAIRBANKS, AK 99709",907-451-5280,JEREMY WORRALL,907-451-5280
50062.01,C,SEAPLANE BASE,'2A4,MATANUSKA-SUSITNA,BETTLES,VOR LAKE WATERLANE,PUBLIC,PUBLIC,STATE OF AK DOTPF N REG,"550 W 7TH AVE, SUITE 900","FAIRBANKS, AK 99709",907-451-5230,JEREMY WORRALL,907-451-5230
50068.65,C,SEAPLANE BASE,'D71,MATANUSKA-SUSITNA,BIG LAKE,BIG LAKE,PUBLIC,PUBLIC,"STATE OF ALASKA, DNR","550 W 7TH AVE, SUITE 900","ANCHORAGE, AK 99501",907-269-0770,BILLY CRANFORD,907-892-7575
50068.6,A,AIRPORT,'BGQ,MATANUSKA-SUSITNA,BIG LAKE,BIG LAKE,PUBLIC,PUBLIC,ALASKA DOT&PF CENTRAL REGION,PO BOX 196900,"ANCHORAGE, AK 99519",907-269-8400,STEVE BANSE,907-745-2159
50068.69,C,SEAPLANE BASE,'6A7,MATANUSKA-SUSITNA,BIG LAKE,BROWN'S HOMESTEAD,PUBLIC,PRIVATE,BILL & KAYLENE BROWN,"550 W 7TH AVE, STE 900","ANCHORAGE, AK 99516",907-269-8400,BILL & KAYLENE BROWN,907-376-0227
50068.681,A,AIRPORT,'95AK,MATANUSKA-SUSITNA,BIG LAKE,BROWN'S HOMESTEAD,PRIVATE,PRIVATE,BILL & KAYLENE BROWN,4405 FAIRMONT RD,"ANCHORAGE, AK 99516",907-345-0403,BILL & KAYLENE BROWN,907-345-0403
50068.66,H,AIRPORT,'68AK,MATANUSKA-SUSITNA,BIG LAKE,CUBDIVISION,PRIVATE,PRIVATE,FULLER A. COWELL,927 1ST STREET,"FAIRBANKS, AK 99701",907-227-7333,FULLER A. COWELL,907-227-7333
50068.63,A,AIRPORT,'9AK7,MATANUSKA-SUSITNA,BIG LAKE,EAGLES ROOST,PRIVATE,PRIVATE,GUY TURNER,6960 E BEACHCRAFT RD,"BIG LAKE, AK 99652",907-892-8244,LEE BUDDE,928-231-0249
50068.71,A,AIRPORT,'AA10,MATANUSKA-SUSITNA,BIG LAKE,EAGLES ROOST,PRIVATE,PRIVATE,ROBERT B. FISHER,6960 E BEACHCRAFT RD,"WASILLA, AK 99654",928-231-0249,GUY TURNER,928-231-0249
50068.58,A,AIRPORT,'08AK,MATANUSKA-SUSITNA,BIG LAKE,FISHER,PRIVATE,PRIVATE,ROBERT HUTCHISON,BOX 520209,"BIG LAKE, AK 99652",907-892-8209,ROBERT B. FISHER,907-892-8209
50068.5,A,AIRPORT,'02AA,MATANUSKA-SUSITNA,BIG LAKE,H & H FIELD,PRIVATE,PRIVATE,ROBERT HUTCHISON,18302 W JENNY LN,"BIG LAKE, AK 99652",907-892-4523,ROBERT HUTCHISON,
50068.72,C,SEAPLANE BASE,'AK48,MATANUSKA-SUSITNA,BIG LAKE,HAGGARDS LANDING SEAPLANE BASE,PRIVATE,PRIVATE,WES ERB,PO BOX 520493,"BIG LAKE, AK 99652",907-441-2382,GREG M. HOPPE,
50068.53,C,SEAPLANE BASE,'86AK,MATANUSKA-SUSITNA,BIG LAKE,HOPPE'S,PRIVATE,PRIVATE,WILLIAM L. KRAMER,PO BOX 521783,"BIG LAKE, AK 99652",907-892-7169,GREG M. HOPPE,907-892-7169
50068.52,C,SEAPLANE BASE,'AA02,MATANUSKA-SUSITNA,BIG LAKE,HORSESHOE LAKE,PRIVATE,PUBLIC,STATE OF AK DNR,PO BOX 521783,"BIG LAKE, AK 99652",907-440-5000,WILLIAM L. KRAMER,907-892-7369
50068.67,C,SEAPLANE BASE,'L95,MATANUSKA-SUSITNA,BIG LAKE,JONES LANDING,PUBLIC,PUBLIC,STATE OF AK DNR,"550 W 7TH AVE, SUITE 900","BIG LAKE, AK 99652",907-269-8400,ROBERT JONES,907-892-7369
50068.57,A,AIRPORT,'AK86,MATANUSKA-SUSITNA,BIG LAKE,KRAMER,PRIVATE,PRIVATE,GRACE WHEDBEE,PO BOX 521783,"BIG LAKE, AK 99652",907-440-5000,WILLIAM L. KRAMER,907-892-5556
50068.54,C,SEAPLANE BASE,'91AK,MATANUSKA-SUSITNA,BIG LAKE,KUCERA,PRIVATE,PRIVATE,GRACE WHEDBEE,PO BOX 520045,"BIG LAKE, AK 99652",907-892-5556,GRACE WHEDBEE,907-892-5556
50068.64,C,SEAPLANE BASE,'63AK,MATANUSKA-SUSITNA,BIG LAKE,MARION,PRIVATE,PRIVATE,GRACE WHEDBEE,PO BOX 520045,"BIG LAKE, AK 99652",907-892-5556,MIKE GRAVES,907-892-5556
50068.0,C,SEAPLANE BASE,'85AK,ALEUTIAN ISLANDS,BIG LAKE,MARION,PRIVATE,PRIVATE,MIKE GRAVES,PO BOX 520815,"BIG LAKE, AK 99602",907-841-1977,MIKE GRAVES,907-841-1977
50068.56,A,HELIPORT,'20AK,MATANUSKA-SUSITNA,BIG LAKE,OWEN FIELD,PRIVATE,PRIVATE,MIKE GRAVES,PO BOX 520815,"BIG LAKE, AK 99602",907-841-1977,MIKE GRAVES,907-841-1977
50068.68,H,HELIPORT,'AA07,ANCHORAGE,BIG LAKE,SADDLEBACK ISLAND,PRIVATE,PRIVATE,FULLER A. COWELL,927 1ST ST,"FAIRBANKS, AK 99701",907-727-1963,LARRY A. LEVINE,907-727-1963
50068.61,A,HELIPORT,'AK87,MATANUSKA-SUSITNA,BIG LAKE,TEAM LEVINE,PRIVATE,PRIVATE,LARRY A. LEVINE,3301 PRINCETON WAY,"ANCHORAGE, AK 99508",907-727-1963,EDMUND MONT MAHONEY,907-727-1963
50068.62,A,AIRPORT,'AK95,MATANUSKA-SUSITNA,BIG LAKE,TWIN LAKE,PRIVATE,PRIVATE,EDMUND MONT MAHONEY,PO BOX 190905,"ANCHORAGE, AK 99519",907-360-6190,KEN THORALL,907-360-6190
50068.59,C,AIRPORT,'09AK,MATANUSKA-SUSITNA,BIG LAKE,WEST BEAVER,PRIVATE,PRIVATE,KEN THORALL,1010 N ROGERS RD,"WASILLA, AK 99654",907-232-5711,KEN THORALL,907-232-5711
50068.51,C,AIRPORT,'AA01,MATANUSKA-SUSITNA,BIG LAKE,BIG MOUNTAIN,PRIVATE,PRIVATE,US AIR FORCE,6830 BEECHCRAFT RD,"WASILLA, AK 99654",907-232-5711,KEN THORALL,907-552-8757
50068.7,A,AIRPORT,'37AK,KODIAK ISLAND,BIG MOUNTAIN,BIG MOUNTAIN,US AIR FORCE,PRIVATE,US AIR FORCE,"10471 20TH ST, SUITE 361","ELMENDORF AFB, AK 99506",907-552-3442,JOHN SMITH,907-552-8757
50068.78,A,AIRPORT,'Z91,ANCHORAGE,BIRCH CREEK,BIRCH CREEK,PUBLIC,PUBLIC,ALASKA DOT&PF CENTRAL REGION,2301 PEGER RD,"FAIRBANKS, AK 99709",907-451-5280,TOM WILLIAMS,907-451-5280
50069.0,A,AIRPORT,'BCV,ANCHORAGE,BIRCHWOOD,BIRCHWOOD,PUBLIC,PUBLIC,ALASKA DOT&PF CENTRAL REGION,PO BOX 196900,"ANCHORAGE, AK 99519",907-269-0770,TOM GRMAN,907-338-1432
50070.0,A,AIRPORT,'5BK,CORDOVA-MCCARTHY,BLACK RAPIDS,BLACK RAPIDS,PUBLIC,PUBLIC,US FOREST SERVICE,PO BOX 147,"GLENALLEN, AK 99588",,UNKNOWN,907-822-3217
50071.72,A,AIRPORT,'AK97,CORDOVA-MCCARTHY,BOSWELL BAY,BOSWELL BAY,PUBLIC,PRIVATE,ALASKA DOT&PF NORTHERN REGION,CORDOVA AK 99574,"ELMENDORF AFB, AK 99506",,DENNIS BISHOP,
50072.0,A,AIRPORT,'BYA,UPPER YUKON,BOUNDARY,BOUNDARY,PUBLIC,PUBLIC,ALASKA DOT&PF NORTHERN REGION,2301 PEGER RD,"FAIRBANKS, AK 99709",907-451-2200,DENNIS BISHOP,907-883-5128
50072.5,A,AIRPORT,'KTS,NOME,BREVIG MISSION,BREVIG MISSION,PUBLIC,PUBLIC,PUBLIC DOMAIN,,"FAIRBANKS, AK 99701",,,907-443-2500
50073.0,A,AIRPORT,'AK98,NOME,BUCKLAND,BUCK CREEK,PUBLIC,PRIVATE,PUBLIC DOMAIN,,,907-451-2200,,
50073.1,A,AIRPORT,'BVK,UNORGANIZED,CANDLE,CANDLE 2,PUBLIC,PUBLIC,ELITE PORTFOLIO LLC,2301 PEGER ROAD,"FAIRBANKS, AK 99701",907-451-2200,ALVIN WERNEKE,907-442-3147
50075.1,A,AIRPORT,'AK75,UNORGANIZED,CANDLE,CANDLE 2,PRIVATE,PRIVATE,BILL SIMMS,"50 W BROADWAY, SUITE 900","SALT LAKE CITY, UT 84101",801-983-2180,DAVID THACKER,801-455-5200
50078.0,A,AIRPORT,'TTW,MATANUSKA-SUSITNA,CANTWELL,CANTWELL,PRIVATE,PUBLIC,BILL SIMMS,3851 CHINIAK BAY DR,"ANCHORAGE, AK 99515",907-768-2162,RAY ATKINS,907-768-2143
50078.12,A,HELIPORT,'15AK,WRANGELL-PETERSBURG,CANTWELL,GOLDEN NORTH AIRFIELD,PRIVATE,PRIVATE,CAPE DECISION LIGHTHOUSE SOCIETY,PO BOX 129,"CANTWELL, AK 99729",907-768-2162,DALE NORD,907-768-2162
50080.6,H,HELIPORT,'CDE,WRANGELL-PETERSBURG,CAPE DECISION,CAPE DECISION LIGHTHOUSE,PUBLIC,PRIVATE,CAPE DECISION LIGHTHOUSE SOCIETY,224 KATLIAN ST,"ANCHORAGE, AK 99506",,CAPE DECISION LIGHTHOUSE SOCIETY,907-552-9730
50082.0,A,AIRPORT,'LUR,BETHEL,CAPE LISBURNE,CAPE LISBURNE LRRS,US AIR FORCE,PRIVATE,US AIR FORCE,11 AIR FORCE ELMENDORF AFB,"ANCHORAGE, AK 99506",,US AIR FORCE,907-552-9730
50084.0,A,AIRPORT,'EHM,BETHEL,CAPE NEWENHAM,CAPE NEWENHAM LRRS,US AIR FORCE,PUBLIC,US AIR FORCE,"11 ACW, ELMENDORF AFB","CAPE POLE, AK",,COMMANDER,907-552-5105
50086.0,C,AIRPORT,'Z71,PRINCE OF WALES,CAPE POLE,CAPE POLE,PRIVATE,PUBLIC,L.O.G. LOG CO.,CAPE POLE SEAPLANE BASE,"CAPE POLE, AK",,,
50088.0,A,AIRPORT,'CZF,ALEUTIAN ISLANDS,CAPE ROMANZOF,CAPE ROMANZOF LRRS,PUBLIC,PRIVATE,US AIR FORCE,"10471 20TH ST, SUITE 361","ELMENDORF AFB, AK 99506",907-552-3442,NICK HILTON,907-532-2445
50088.3,A,AIRPORT,'26AK,ALEUTIAN ISLANDS,CAPE SARICHEF,CAPE SARICHEF,PUBLIC,PRIVATE,US FISH AND WILDLIFE SERVICE,USCG 17TH DIST BOX 3-5000,"ANCHORAGE, AK 99503",,IZEMBEK NATIONAL WILDLIFE REFUGE,907-586-7351
50088.53,H,AIRPORT,'CSP,SKAGWAY-YAKUTAT,CAPE SPENCER,CAPE SPENCER C G,PUBLIC,PUBLIC,US GOVT,USCG 17TH DIST BOX 3-5000,"JUNEAU, AK 99801",,O I C,907-451-5276
50090.0,A,AIRPORT,'CEM,UPPER YUKON,CENTRAL,CENTRAL,PUBLIC,PUBLIC,ALASKA DOT&PF NORTHERN REGION,2301 PEGER RD,"FAIRBANKS, AK 99709",907-451-2200,TOM WILLIAMS,907-451-5276
50092.0,A,AIRPORT,'CIK,UPPER YUKON,CHALKYITSIK,CHALKYITSIK,PUBLIC,PUBLIC,ALASKA DOT&PF NORTHERN REGION,2301 PEGER RD,"FAIRBANKS, AK 99709",907-451-2200,TOM WILLIAMS,907-451-5280
50093.95,A,AIRPORT,'5CD,UPPER YUKON,CHANDALAR CAMP,CHANDALAR SHELF,PUBLIC,PUBLIC,ALASKA DOT&PF NORTHERN REGION,2301 PEGER RD,"FAIRBANKS, AK 99709",907-451-2200,JEFF RUSSELL,907-451-2207
