facilityname,sitenumber,owner,manager
AMERICAN CREEK,50031,STATE OF AK DNR,NO MANAGER
AMOOK BAY,50031.5,MIKE MUNSEY,MIKE MUNSEY
AMOOK BAY,50031.5,MIKE MUNSEY,MIKE MUNSEY
AMOOK BAY,50031.5,MIKE MUNSEY,MIKE MUNSEY
ANAKTUVUK PASS,50032,NORTH SLOPE BOROUGH,TOM D. NICOLOS
CAMPBELL AIRSTRIP,50033,US BUREAU OF LAND MANAGEMENT,DAVE DOUCET
PROVIDENCE HOSPITAL,50033.01,PROVIDENCE HEALTH SYSTEM,VICKI FACIANE
SIXMILE LAKE,50033.02,US AIR FORCE, MAJOR ROBERT PECK
VIKING,50033.03,PRUHS CORPORATION,DANA PRUHS
VIKING,50033.03,PRUHS CORPORATION,DANA PRUHS
VIKING,50033.03,PRUHS CORPORATION,DANA PRUHS
ALASKA RGNL HOSPITAL,50033.1,MUNICIPALITY OF ANCHORAGE,PAUL BOWERS A.A.E.
CAMPBELL BLM,50033.2,US BUREAU OF LAND MANAGEMENT,DAVE DOUCET
ANCHORAGE LOFTS HOTEL HELIPORT,50033.24,H.P. HOLDINGS INC.,RANDY COMER
FLYING CROWN,50033.4,FLYING CROWN/OCEANVIEW NORTH,CHARLES FRYER
BOLD,50033.5,STATE OF AK DNR,KEITH WILSON PARK RANGER
TED STEVENS ANCHORAGE INTL,50034,STATE OF ALASKA DOTPF,JOHN PARROTT
TED STEVENS ANCHORAGE INTL,50034,STATE OF ALASKA DOTPF,JOHN PARROTT
TED STEVENS ANCHORAGE INTL,50034,STATE OF ALASKA DOTPF,JOHN PARROTT
MERRILL FIELD,50035,MUNICIPALITY OF ANCHORAGE,PAUL BOWERS A.A.E.
CAMPBELL LAKE SPB,50035.2,CAMPBELL LAKE OWNERS INC,DR. JOHN SPARAGA
ELMENDORF AFB,50036,US AIR FORCE,AIRFIELD MGR
ELMENDORF HOSPITAL,50036.01,US AIR FORCE,AIRFIELD MANAGER
ELMENDORF HOSPITAL,50036.01,US AIR FORCE,AIRFIELD MANAGER
ELMENDORF HOSPITAL,50036.01,US AIR FORCE,AIRFIELD MANAGER
FIRE ISLAND,50036.02,US FEDERAL AVIATION ASSOCIATION,DISTRICT OFFICE MANAGER
SKY HARBOR,50036.1,SKY HBR PRPTY OWNER ASSOC,GORDON A. LEONARD
LAKE HOOD,50037,STATE OF AK -- DOT&PF,TIM COONS
ANCHOR RIVER AIRPARK,50037.3,ANCHOR RIVER AIRPARK OWNERS ASSOC,JIM DRESS
LOWELL FIELD,50037.31,DAN PRESLEY,DAN PRESLEY
LOWELL FIELD,50037.31,DAN PRESLEY,DAN PRESLEY
LOWELL FIELD,50037.31,DAN PRESLEY,DAN PRESLEY
ANGOON,50037.6,ALASKA DOT&PF SOUTHCOAST REGION,PAUL KHERA
ANGOON,50037.6,ALASKA DOT&PF SOUTHCOAST REGION,PAUL KHERA
ANGOON,50037.6,ALASKA DOT&PF SOUTHCOAST REGION,PAUL KHERA
ANIAK,50038,ALASKA DOT&PF CENTRAL REGION,RICHARD CILETTI
ANNETTE ISLAND,50039,METLAKATLA INDIAN COMM,MAYOR AUDREY M. L. HUDSON
ANNETTE ISLAND,50039,METLAKATLA INDIAN COMM,MAYOR AUDREY M. L. HUDSON
ANNETTE ISLAND,50039,METLAKATLA INDIAN COMM,MAYOR AUDREY M. L. HUDSON
TAMGAS HARBOR,50039.01,COUNCIL OF ANNETTE IS,CHIEF OF POLICE
TAMGAS HARBOR,50039.01,COUNCIL OF ANNETTE IS,CHIEF OF POLICE
TAMGAS HARBOR,50039.01,COUNCIL OF ANNETTE IS,CHIEF OF POLICE
ANVIK,50039.1,ALASKA DOT&PF NORTHERN REGION,ERIK WEINGARTH
ANVIK,50039.1,ALASKA DOT&PF NORTHERN REGION,ERIK WEINGARTH
ANVIK,50039.1,ALASKA DOT&PF NORTHERN REGION,ERIK WEINGARTH
ANVIK,50039.11,PUBLIC DOMAIN,NO MANAGER
ARCTIC VILLAGE,50039.8,VENETIE TRIBAL GOVN,JONATHAN JOHNS
ARCTIC VILLAGE,50039.8,VENETIE TRIBAL GOVN,JONATHAN JOHNS
ARCTIC VILLAGE,50039.8,VENETIE TRIBAL GOVN,JONATHAN JOHNS
ATKA,50040.5,ALASKA DOT&PF SOUTHCOAST REGION,DALE RUCKMAN
ATMAUTLUAK,50044,ALASKA DOT&PF CENTRAL REGION,LAWRENCE DAVIS
ATMAUTLUAK,50044,ALASKA DOT&PF CENTRAL REGION,LAWRENCE DAVIS
ATMAUTLUAK,50044,ALASKA DOT&PF CENTRAL REGION,LAWRENCE DAVIS
ATQASUK EDWARD BURNELL SR MEMORIAL,50044.5,NORTH SLOPE BOROUGH,TOM D. NICOLOS
ATQASUK EDWARD BURNELL SR MEMORIAL,50044.5,NORTH SLOPE BOROUGH,TOM D. NICOLOS
ATQASUK EDWARD BURNELL SR MEMORIAL,50044.5,NORTH SLOPE BOROUGH,TOM D. NICOLOS
CASCO COVE CGS,50046,US COAST GUARD,COMMANDER LORAN STATION
BARANOF WARM SPRINGS FLOAT AND SEAPLANE FL,50053,CITY AND BOROUGH OF SITKA,HARBORMASTER
BARANOF WARM SPRINGS FLOAT AND SEAPLANE FL,50053,CITY AND BOROUGH OF SITKA,HARBORMASTER
BARANOF WARM SPRINGS FLOAT AND SEAPLANE FL,50053,CITY AND BOROUGH OF SITKA,HARBORMASTER
WILEY POST-WILL ROGERS MEMORIAL,50054.3,ALASKA DOT&PF NORTHERN REGION,JOHN OLSEN
BARTER ISLAND,50055.5,NORTH SLOPE BOROUGH,TOM NICOLOS
BARTER ISLAND,50055.5,NORTH SLOPE BOROUGH,TOM NICOLOS
BARTER ISLAND,50055.5,NORTH SLOPE BOROUGH,TOM NICOLOS
BARTLETT COVE,50056,NPS GLACIER BAY NATL PARK & PRES,SUPERINTENDANT OF GLACIER BAY
BASIN CREEK,50056.5,ENGSTROM DREDGING CO,RON ENGSTROM
BEAR CREEK 1,50057,PUBLIC DOMAIN,NO MANAGER
BEAR CREEK 1,50057,PUBLIC DOMAIN,NO MANAGER
BEAR CREEK 1,50057,PUBLIC DOMAIN,NO MANAGER
BEAR CREEK 3,50057.2,PUBLIC DOMAIN,NO MANAGER
JOHNSONS LANDING,50057.4,PUBLIC DOMAIN,WARREN JOHNSON
BEAVER,50058,ALASKA DOT&PF NORTHERN REGION,TOM WILLIAMS
BELL ISLAND HOT SPRINGS,50059.9,DONALD PETERSON,DONALD PETERSON
BELUGA,50059.95,HILCORP ALASKA LLC,HILCORP ALASKA LLC
BETHEL,50060.2,PUBLIC DOMAIN,NO MANAGER
BETHEL,50061.1,ALASKA DOT&PF CENTRAL REGION,LJ DAVIS
