title,year,director,rating
Mr Hockey: The Gordie Howe Story,2013,Andy Mikita,PG
Back in Action,2013,Anthony Mastanduno,TV-14
Bad Trouble Here,2013,Anthony Mastanduno,TV-14
Bad Trouble Here,2013,Anthony Mastanduno,TV-14
Bad Trouble Here,2013,Anthony Mastanduno,TV-14
Breakdown at Tiffany's,2013,Anthony Mastanduno,TV-14
Computer Crash,2013,Anthony Mastanduno,TV-14
Computer Crash,2013,Anthony Mastanduno,TV-14
Gold Crash,2013,Anthony Mastanduno,TV-14
Harold's Gamble,2013,Anthony Mastanduno,TV-14
Seth in Charge,2013,Anthony Mastanduno,TV-14
Seth in Charge,2013,Anthony Mastanduno,TV-14
Seth Snaps,2013,Anthony Mastanduno,TV-14
Seth Snaps,2013,Anthony Mastanduno,TV-14
Seth Snaps,2013,Anthony Mastanduno,TV-14
Seth Snaps,2013,Anthony Mastanduno,TV-14
The Fall Guy,2013,Arlene Sanford,TV-PG
Apophenia,2014,Arlene Sanford,TV-14
A Portrait of the Artist as a Young Call Girl,2013,Bethany Rooney,TV-14
Final Shot,2013,Bethany Rooney,TV-14
Final Shot,2013,Bethany Rooney,TV-14
State vs Queen,2013,Bethany Rooney,TV-14
Strange Brew,2013,Bethany Rooney,TV-14
Strange Brew,2013,Bethany Rooney,TV-14
Target,2013,Bill Roe,TV-PG
Still,2013,Bill Roe,TV-14
Illumination,2013,Bobby Roth,TV-PG
The Hub,2013,Bobby Roth,TV-PG
Dissolution,2013,Bobby Roth,TV-PG
Man on the Moon,2013,Bobby Roth,TV-14
Pilot,2014,Brad Anderson,TV-PG
Pilot,2014,Brad Anderson,TV-PG
A View to a Kill,2013,Brad Turner,TV-14
Aftermath,2013,Brad Turner,TV-14
House of the Rising Son,2013,Brad Turner,TV-14
House of the Rising Son,2013,Brad Turner,TV-14
The Haunting,2014,Brad Turner,TV-14
The Haunting,2014,Brad Turner,TV-14
42,2013,Brian Helgeland,PG-13
42,2013,Brian Helgeland,PG-13
Parts Per Billion,2014,Brian Horiuchi,R
Servant to Two Masters,2013,Brian Kelly,TV-14
Emily,2013,Chris Hollo,Not Rated
Have We Met Before?,2013,Chris Hollo,Not Rated
Here We Go,2013,Chris Hollo,Not Rated
It's Your Legacy,2013,Chris Hollo,Not Rated
Trust Is Complicated,2014,Chris Hollo,Not Rated
Trust Is Complicated,2014,Chris Hollo,Not Rated
Camping,2013,Chris Koch,TV-PG
Family Conference,2013,Chris Koch,TV-PG
September Fools,2013,Chris Koch,TV-PG
September Fools,2013,Chris Koch,TV-PG
Epic,2013,Chris Wedge,PG
Baggage Claim,2013,David E. Talbert,PG-13
Prince Avalanche,2013,David Gordon Green,R
Prince Avalanche,2013,David Gordon Green,R
Hell Bent for Leather,2013,David Von Ancken,TV-MA
In the Clouds,2013,David Von Ancken,TV-MA
Rock and a Hard Place,2013,David Von Ancken,TV-MA
Rock and a Hard Place,2013,David Von Ancken,TV-MA
Children of the Night,2013,Deran Sarafian,TV-MA
The Crucible,2013,Deran Sarafian,TV-MA
The Crucible,2013,Deran Sarafian,TV-MA
The Crucible,2013,Deran Sarafian,TV-MA
The Order of the Dragon,2013,Deran Sarafian,TV-MA
Jarhead 2: Field of Fire,2014,Don Michael Paul,R
Sniper: Legacy,2014,Don Michael Paul,R
Sniper: Legacy,2014,Don Michael Paul,R
The Gift,2013,Gail Mancuso,TV-14
The New Office,2013,Gail Mancuso,TV-14
Woman on Top,2013,Gail Mancuso,TV-14
Woman on Top,2013,Gail Mancuso,TV-14
Dracula Untold,2014,Gary Shore,PG-13
The Children,2012,Gary Shore,R
You're Not You,2014,George C. Wolfe,R
Bullets and Tears,2014,Greg Yaitanes,TV-MA
Bullets and Tears,2014,Greg Yaitanes,TV-MA
Half Deaf Is Better Than All Dead,2013,Greg Yaitanes,TV-MA
Homecoming,2014,Greg Yaitanes,TV-MA
Homecoming,2014,Greg Yaitanes,TV-MA
Homecoming,2014,Greg Yaitanes,TV-MA
Little Fish,2014,Greg Yaitanes,TV-MA
Little Fish,2014,Greg Yaitanes,TV-MA
The Thunder Man,2014,Greg Yaitanes,TV-MA
The Thunder Man,2014,Greg Yaitanes,TV-MA
N.Y.C. Underground,2013,Jessy Terrero,R
Last Vegas,2013,Jon Turteltaub,PG-13
A Typical Night,2014,Keith Munden,Not Rated
Reaper's Revenge: Fear the Reaper,2014,Keith Munden,Not Rated
Safe Place,2014,Keith Munden,Not Rated
Tick Tock,2014,Keith Munden,Not Rated
Dolls of Voodoo,2013,Kenya Moore,R
A Good Man,2014,Keoni Waxman,R
A Good Man,2014,Keoni Waxman,R
Force of Execution,2013,Keoni Waxman,R
Hidden Away,2013,Peter Sullivan,TV-14
High School Possession,2014,Peter Sullivan,R
High School Possession,2014,Peter Sullivan,R
After,2014,Pieter Gaspersz,R
Hunt,2013,Rob Bowman,TV-PG
Disciple,2013,Rob Bowman,TV-PG
Carbon Copy,2013,Rob Hardy,TV-14
Carbon Copy,2013,Rob Hardy,TV-14
What Happens in Mecklinburg...,2014,Rob Hardy,TV-14
What Happens in Mecklinburg...,2014,Rob Hardy,TV-14
V3 for Vendetta,2013,Rob Morrow,TV-PG
V3 for Vendetta,2013,Rob Morrow,TV-PG
Exit to Hell,2013,Robert Conway,R
"Red, White and Blue",2013,Robert Duncan McNeill,TV-PG
The Great Escapist,2013,Robert Duncan McNeill,TV-14
Black-Winged Redbird,2013,Robert Duncan McNeill,TV-14
Green Thumb,2013,Robert Duncan McNeill,TV-14
Raven & the Swans,2013,Robert Florio,TV-14
Exposure,2014,Robert Florio,TV-14
War on Whistleblowers: Free Press and the National Security State,2013,Robert Greenwald,Not Rated
Andromeda,2014,Robert Hollocks,Not Rated
Death of a Client,2013,Robert King,TV-14
Everything Is Ending,2013,Robert King,TV-14
What's in the Box?,2013,Robert King,TV-14
Red Line,2013,Robert Kirbyson,R
Pizza with Bullets,2014,Robert Rothbard,Not Rated
Normal,2015,Robert Rothbard,Not Rated
12 Rounds 2: Reloaded,2013,Roel Reine,R
12 Rounds 2: Reloaded,2013,Roel Reine,R
Dead in Tombstone,2013,Roel Reine,R
Dead in Tombstone,2013,Roel Reine,R
12 Rounds 2: Reloaded,2013,Roel Reine,R
Dead in Tombstone,2013,Roel Reine,R
Dead in Tombstone,2013,Roel Reine,R
Approaching Midnight,2013,Sam Logan Khaleghi,PG
A Space in the Time,2013,Scott Shaw,Not Rated
A Space in the Time,2013,Scott Shaw,Not Rated
The Drive II: 395 Miles from L.A.,2013,Scott Shaw,Not Rated
The Drive III,2014,Scott Shaw,Not Rated
A Space in the Time,2013,Scott Shaw,Not Rated
A Space in the Time,2013,Scott Shaw,Not Rated
The Drive II: 395 Miles from L.A.,2013,Scott Shaw,Not Rated
The Drive III,2014,Scott Shaw,Not Rated
Space Warriors,2013,Sean McNamara,PG
Space Warriors,2013,Sean McNamara,PG
Space Warriors,2013,Sean McNamara,PG
Space Warriors,2013,Sean McNamara,PG
Ouija,2014,Stiles White,PG-13
Temptation: Confessions of a Marriage Counselor,2013,Tyler Perry,PG-13
Temptation: Confessions of a Marriage Counselor,2013,Tyler Perry,PG-13
Temptation: Confessions of a Marriage Counselor,2013,Tyler Perry,PG-13
The Single Moms Club,2014,Tyler Perry,PG-13
Tyler Perry's A Madea Christmas,2013,Tyler Perry,PG-13
Temptation: Confessions of a Marriage Counselor,2013,Tyler Perry,PG-13
Temptation: Confessions of a Marriage Counselor,2013,Tyler Perry,PG-13
Temptation: Confessions of a Marriage Counselor,2013,Tyler Perry,PG-13
The Single Moms Club,2014,Tyler Perry,PG-13
Tyler Perry's A Madea Christmas,2013,Tyler Perry,PG-13
