Title,Year,Rating,Director,Cast
Born to Race: Fast Track,2014,PG,Alex Ranarivelo,"Brett Davern, Beau Mirchoff, Bill Sage, Sharon Lawrence"
The Pact II,2014,Not Rated,"Dallas Richard Hallam, Patrick Horvath","Caity Lotz, Camilla Luddington, Scott Michael Foster, Amy Pietz"
Entering,2013,TV-14,Dustin Street,"Austin Olive, Tanesha Franklin-White, Michelle Hachten, Kacy Tiller"
Jobs,2013,PG-13,Joshua Michael Stern,"Ashton Kutcher, Dermot Mulroney, Josh Gad, Lukas Haas"
Episode #2.6,2013,TV-14,Jay Karas,"Simon Baker, Robin Tunney, Tim Kang, Owain Yeoman"
Fatal,2014,TV-14,Larry Teng,"Tom Mison, Nicole Beharie, Orlando Jones, Katia Winter"
One Percent,2013,TV-14,Chris Fisher,"Jim Caviezel, Taraji P. Henson, Kevin Chapman, Michael Emerson"
The Adventures of RoboRex,2014,PG,Stephen Shimek,"Sarah Paulson, Taissa Farmiga, Frances Conroy, Evan Peters"
The Better Half,2013,TV-14,Phil Abraham,"Jon Hamm, Elisabeth Moss, Vincent Kartheiser, January Jones"
The Clean Room,2014,TV-PG,"Brannon Braga, Ann Druyan","Neil deGrasse Tyson, Richard Gere, Piotr Michael, Marc Worden"
Need to Know,2013,TV-PG,Larry Shaw,"Nathan Fillion, Stana Katic, Susan Sullivan, Jon Huertas"
Red John,2013,TV-14,Chris Long,"Simon Baker, Robin Tunney, Tim Kang, Owain Yeoman"
Cameron Diaz/Mario Batali,2014,TV-14,"Dave Diomedi, Spike Lee","Jimmy Fallon, Cameron Diaz, Ralph Fiennes, Mario Batali"
Heir to the Demon,2014,TV-14,Wendey Stanzler,"Stephen Amell, Katie Cassidy, David Ramsey, Willa Holland"
No Good Deed,2014,PG-13,Sam Miller,"Idris Elba, Taraji P. Henson, Leslie Bibb, Kate del Castillo"
One Percent,2013,TV-14,Chris Fisher,"Jim Caviezel, Taraji P. Henson, Kevin Chapman, Michael Emerson"
Hot Tub Time Machine 2,2014,R,Steve Pink,"Adam Scott, Thomas Lennon, Angela Kerecz, Chevy Chase"
Red Velvet Cupcakes,2013,TV-14,David Barrett,"Simon Baker, Robin Tunney, Tim Kang, Owain Yeoman"
"Dude, Where's My Dog?!",2014,PG,Stephen Langford,"Nic Birdsall, Gabriela Castillo, Taisha Monique Clark, Trish Cook"
Madness Ends,2013,TV-MA,Alfonso Gomez-Rejon,"Zachary Quinto, Joseph Fiennes, Sarah Paulson, Evan Peters"
Need to Know,2013,TV-PG,Larry Shaw,"Nathan Fillion, Stana Katic, Susan Sullivan, Jon Huertas"
Blackfish,2013,PG-13,Gabriela Cowperthwaite,"Tilikum, John Hargrove, Samantha Berg, Mark Simmons"
Something New,2013,TV-14,Pamela Fryman,"Josh Radnor, Jason Segel, Cobie Smulders, Neil Patrick Harris"
Night Games,2013,TV-PG,David Katzenberg,"Jeremy Curtis, Dale Rainey, Ashley L. Thomas, Joel Willis"
The Golem,2013,TV-MA,Daniel Attias,"Liev Schreiber, Paula Malcomson, Eddie Marsan, Dash Mihok"
The Perfect Mark,2013,TV-14,Stephen Surjik,"Jim Caviezel, Taraji P. Henson, Kevin Chapman, Amy Acker"
"Getting Go, the Go Doc Project",2013,Unrated,Cory Krueckeberg,"Jim Caviezel, Taraji P. Henson, Kevin Chapman, Michael Emerson"
All the Time in the World,2013,TV-14,Chris Fisher,"Adam Scott, Thomas Lennon, Angela Kerecz, Chevy Chase"
Non-Stop,2014,PG-13,Jaume Collet-Serra,"Liam Neeson, Julianne Moore, Scoot McNairy, Michelle Dockery"
Palo Alto,2013,R,Gia Coppola,"Jack Kilmer, Nat Wolff, Emma Roberts, Olivia Crocicchia"
The Sacred Taking,2013,TV-MA,Alfonso Gomez-Rejon,"Sarah Paulson, Taissa Farmiga, Frances Conroy, Evan Peters"
Dead Kansas,2013,Not Rated,Aaron K. Carter,"Erin Miracle, Alexandria Lightford, Aaron Guerrero, Michael Camp"
The Pact II,2014,Not Rated,"Dallas Richard Hallam, Patrick Horvath","Caity Lotz, Camilla Luddington, Scott Michael Foster, Amy Pietz"
M Is for Monastery,2013,Not Rated,Jeff Wedding,"Jeremy Curtis, Dale Rainey, Ashley L. Thomas, Joel Willis"
Blind Faith,2013,TV-MA,Adam Bernstein,"David R. Allen, Regan Allen, Eduardo Maguey Barrera, Stephen Burke"
The Inevitable Defeat of Mister & Pete,2013,R,George Tillman Jr.,"Skylan Brooks, Ethan Dizon, Jennifer Hudson, Adewale Akinnuoye-Agbaje"
Grown Ups 2,2013,PG-13,Dennis Dugan,"Andy Samberg, Stephanie Beatriz, Terry Crews, Melissa Fumero"
A Beautiful Day,2013,TV-MA,Keith Gordon,"Michael C. Hall, Jennifer Carpenter, Desmond Harrington, C.S. Lee"
The Facebook Club,2013,Unrated,Josh Surratt,Josh Surratt
Lost Girl,2013,TV-PG,Ron Underwood,"Ginnifer Goodwin, Jennifer Morrison, Lana Parrilla, Josh Dallas"
