Title,Year,Rating,Genre,Director,Writer,Language,Country
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,2013,R,Comedy,Craig Moss,Craig Moss,English,USA
36 Saints,2013,R,Thriller,Eddy Duran,Jeffrey De Serrano,English,USA
37 Myths of El Bigote,2013,Not Rated,Short,Read Ridley,N/A,English,USA
47 Ronin,2013,PG-13,Action,Carl Rinsch,Chris Morgan ,"English, Japanese",USA
48 Hours,2013,TV-14,Comedy,Peter Lauer,Daniel J. Goor ,English,USA
4Closed,2013,TV-14,Drama,Nick Lyon,Geoff Meed ,"English, American Sign Language",USA
4Closed,2013,TV-14,Drama,Nick Lyon,Geoff Meed ,"English, American Sign Language",USA
5 Seasons: The Movie,2013,Not Rated,Comedy,Shawn Raynor,Shawn Raynor,English,USA
616: Paranormal Incident,2013,Not Rated,Horror,David Chirchirillo,Ian Ascher,English,USA
7 Stages of the Closet,2013,Not Rated,Short,Tylyn Anson,Tylyn Anson,English,USA
99%: The Occupy Wall Street Collaborative Film,2013,R,Documentary,Aaron Aites,Alexis Savino,English,USA
A Beautiful Day,2013,TV-MA,Crime,Keith Gordon,James Manos Jr. ,English,USA
A Birder's Guide to Everything,2013,PG-13,Comedy,Rob Meyer,Rob Meyer,English,USA
A Boy and His Dog,2013,TV-14,Horror,Ed Bianchi,Carlton Cuse ,English,USA
A Boy and His Dog,2013,TV-14,Horror,Ed Bianchi,Carlton Cuse ,English,USA
A Case of You,2013,R,Comedy,Kat Coiro,Christian Long ,English,USA
A Common Man,2013,PG-13,Action,Chandran Rutnam,Neeraj Pandey ,English,"USA, Sri Lanka"
A Country Christmas,2013,PG,Family,Dustin Rikert,William Shockley,English,USA
"A Decade of Decadence, Pt. 2: Legacy of Dreams",2013,PG-13,Documentary,Drew Glick,Drew Glick ,English,USA
A Decade of Decadence: The Final Goodbye,2013,R,Documentary,Drew Glick,Drew Glick,English,USA
A Dish Best Served Cold,2013,TV-14,Drama,Karen Gaviola,Stephen Carpenter ,English,USA
A Family on Edge,2013,R,Drama,Bruce Locke,Antwan Locke,English,USA
A Father's Love,2013,TV-14,Comedy,Jake Kasdan,Elizabeth Meriwether ,English,USA
"A Giant Gun, Filled with Drugs",2013,TV-14,Crime,Guy Ferland,Robert Doherty ,English,USA
A Good Day to Die Hard,2013,R,Action,John Moore,Skip Woods,"English, Russian, Hindi",USA
A Haunted House,2013,R,Comedy,Michael Tiddes,Marlon Wayans,"English, Spanish",USA
A Haunted House,2013,R,Comedy,Michael Tiddes,Marlon Wayans,"English, Spanish",USA
"A Haunting in Saginaw, Michigan",2013,Not Rated,Documentary,Steven 'Prozak' Shippy,N/A,English,USA
A Hell of a Ride,2013,TV-14,Action,Alex Chapple,Michael Brandt ,English,USA
A Little Reflection,2013,TV-MA,Crime,John Dahl,James Manos Jr. ,English,USA
A Little Taste,2013,TV-14,Action,Arthur W. Forney,Michael Brandt ,English,USA
A Matter of Time,2013,Not Rated,Short,Jared Passante,Maddie Ardillo,English,USA
A Miracle in Spanish Harlem,2013,PG,Drama,Derek Partridge,Carlos R. Berm�dez ,English,USA
A Mixture of Madness,2013,TV-MA,Action,Miguel Sapochnik,Jonathan Tropper ,English,USA
A More Perfect Union,2013,TV-14,Crime,Michael Zinberg,Robert King ,English,USA
A Mouth Is a Mouth,2013,TV-MA,Crime,Allen Coulter,Ann Biderman,English,USA
A Murder Is Forever,2013,TV-PG,Comedy,Bill Roe,Andrew W. Marlowe ,English,USA
A New Attitude,2013,TV-PG,Comedy,Mitchell Hurwitz,Mitchell Hurwitz ,English,USA
A New Start,2013,TV-PG,Comedy,Mitchell Hurwitz,Mitchell Hurwitz ,English,USA
A Pee Stick and an Asian Raccoon,2013,TV-14,Comedy,Gary Halvorson,Chuck Lorre ,English,USA
A Perfect Man,2013,R,Drama,Kees Van Oostrum,Larry Brand,English,USA
A Portrait of the Artist as a Young Call Girl,2013,TV-14,Comedy,Bethany Rooney,Rob Thomas ,English,USA
A Problem House,2013,TV-14,Action,Joe Chappelle,Michael Brandt ,English,USA
A Resurrection,2013,R,Horror,Matt Orlando,Matt Orlando,"English, Spanish",USA
A Sierra Nevada Gunfight,2013,R,Western,Vernon E. Mortensen,Johnny Harrington,English,USA
A Single Shot,2013,R,Crime,David M. Rosenthal,Matthew F. Jones ,English,"UK, USA, Canada"
A Sister's Nightmare,2013,TV-14,Drama,Vic Sarin,Shelley Gillen,English,"Canada, USA"
A Snow Globe Christmas,2013,TV-PG,Drama,Jodi Binstock,Naomi L. Selfman ,English,USA
A Song of Ass and Fire,2013,TV-MA,Animation,Trey Parker,Trey Parker ,"English, Japanese",USA
A South Bronx Family,2013,Not Rated,Documentary,Nelson Pena,N/A,"English, Spanish","USA, Dominican Republic, Puerto Rico"
A Space in the Time,2013,Not Rated,Fantasy,Scott Shaw,N/A,English,USA
A Strange Brand of Happy,2013,PG-13,Comedy,Brad Wise,Brad Wise,English,USA
A Tale of Two Cities,2013,TV-14,Drama,John Slattery,Matthew Weiner ,English,USA
A Tale of Two Cities,2013,TV-14,Drama,John Slattery,Matthew Weiner ,English,USA
A View to a Kill,2013,TV-14,Drama,Brad Turner,Kevin Williamson ,English,USA
A Whiff of Sulfur,2013,TV-14,Drama,Steve Shill,Cole Haddon ,English,USA
A.C.O.D.,2013,R,Comedy,Stu Zicherman,Ben Karlin,English,USA
A'ale Ma'a Wau,2013,TV-14,Action,Joe Dante,Peter M. Lenkov ,English,USA
Abduction: Part II,2013,TV-14,Crime,Ralph Hemecker,Christopher Murphey ,English,USA
Absolute Deception,2013,R,Action,Brian Trenchard-Smith,Jeffrey Schenck ,English,USA
Accessorizing Your DSLR Camera on a Budget,2013,TV-14,Talk-Show,Ryan Colegrove,N/A,English,USA
Accused,2013,TV-14,Drama,Adam Kane,Tim Kring ,English,USA
Acres of Diamonds,2013,TV-MA,Crime,Allen Coulter,Terence Winter ,English,USA
Addict,2013,Not Rated,Short,Nino Cimino,Nino Cimino,English,USA
Addict,2013,Not Rated,Short,Nino Cimino,Nino Cimino,English,USA
Addiction,2013,PG-13,Short,Jesse Tuttle,Jesse Tuttle,English,USA
Adjust Your Tracking,2013,Not Rated,Documentary,Dan M. Kinem,Dan M. Kinem,English,USA
Admission,2013,PG-13,Comedy,Paul Weitz,Karen Croner ,English,USA
Adult World,2013,R,Comedy,Scott Coffey,Andy Cochran,English,USA
"Advantage: Fat, Flying Baby",2013,TV-14,Comedy,James Widdoes,Chuck Lorre ,English,USA
AE: Apocalypse Earth,2013,Not Rated,Action,Thunder Levin,Thunder Levin,English,USA
Affect,2013,Not Rated,Short,Steven Craig Oliver,N/A,N/A,USA
Afflicted,2013,R,Horror,Derek Lee,Derek Lee ,"English, French, Italian","Canada, USA"
After School Special,2013,TV-14,Drama,David Von Ancken,Kevin Williamson ,English,USA
After the Dark,2013,R,Drama,John Huddles,John Huddles,English,"USA, Indonesia"
After Tiller,2013,PG-13,Documentary,Martha Shane,Greg O'Toole,English,USA
Aftermath,2013,TV-14,Action,Brad Turner,Craig Silverstein ,English,USA
Afternoon Delight,2013,R,Comedy,Jill Soloway,Jill Soloway,English,USA
Age of Dinosaurs,2013,Not Rated,Action,Joseph J. Lawson,Hank Woon Jr. ,English,USA
Agent Stone: The Feast of Shadow,2013,Not Rated,Short,PJ Evans,PJ Evans,English,USA
Ain't Them Bodies Saints,2013,R,Crime,David Lowery,David Lowery,English,USA
Akanahe,2013,TV-14,Action,Jerry Levine,Peter M. Lenkov ,"English, Japanese",USA
"Alan Harper, Pleasing Women Since 2003",2013,TV-14,Comedy,James Widdoes,Chuck Lorre ,English,USA
Alchemy,2013,TV-14,Crime,Matthew Gray Gubler,Jeff Davis ,English,USA
Alibi,2013,TV-14,Action,Holly Dale,Donald P. Bellisario ,English,USA
Aliens: Zone-X,2013,PG-13,Sci-Fi,Thomas R. Dickens,N/A,English,USA
All Babe Network,2013,TV-MA,Comedy,Dean McKendrick,Dean McKendrick,English,USA
All Cheerleaders Die,2013,Not Rated,Comedy,Lucky McKee,Lucky McKee ,English,USA
All I Ever Wanted,2013,TV-MA,Comedy,Todd Haynes,Mike White,English,USA
All I Want for Christmas,2013,TV-PG,Comedy,Fred Olen Ray,Michael Ciminera ,English,USA
All In,2013,TV-MA,Crime,Ed Bianchi,Terence Winter ,English,USA
All In,2013,TV-14,Action,Tricia Brock,Jonathan Nolan ,English,USA
All Is Bright,2013,R,Comedy,Phil Morrison,Melissa James Gibson,English,USA
All Is Lost,2013,PG-13,Action,J.C. Chandor,J.C. Chandor,English,USA
All My Problems Solved Forever...,2013,TV-14,Comedy,Michael Spiller,Mindy Kaling ,English,USA
All Riled Up,2013,TV-14,Comedy,Michael Lembeck,Dan Berendsen ,English,USA
All That Remains,2013,TV-14,Crime,Thomas Gibson,Jeff Davis ,English,USA
All the Time in the World,2013,TV-14,Drama,Chris Fisher,D. Brent Mote ,English,USA
All Together Now,2013,TV-MA,Drama,Tim Fywell,Michelle Ashford ,English,USA
All-American Jewelry and Loan,2013,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
All-American Jewelry and Loan,2013,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
Aloha Ke Kahi I Ke Kahi,2013,TV-14,Action,Bryan Spicer,Peter M. Lenkov ,English,USA
Aloha. Malama Pono,2013,TV-14,Action,Bryan Spicer,Roberto Orci ,English,USA
Alone for Christmas,2013,TV-G,Action,Joseph J. Lawson,Nancy Leopardi ,English,USA
Alone Yet Not Alone,2013,PG-13,History,Ray Bengston,Tracy Leininger Craven ,English,USA
Alpha Alert,2013,R,Thriller,Matthew Thompson,Scott Bolger,English,"UK, USA"
Altered,2013,Not Rated,Short,Ryan Riddle,Ryan Riddle,English,USA
Always and Forever,2013,TV-14,Drama,Chris Grismer,Julie Plec ,English,USA
Always and Forever,2013,TV-14,Action,Chris Grismer,Julie Plec ,English,USA
Always the Cowboy,2013,TV-MA,Action,Miguel Sapochnik,Jonathan Tropper ,English,USA
Ambushed,2013,R,Action,Giorgio Serafini,Agustin,English,USA
American Gothic,2013,TV-14,Drama,Kellie Cyrus,Kevin Williamson ,English,USA
American Hustle,2013,R,Crime,David O. Russell,Eric Warren Singer,"English, Arabic",USA
American Idiots,2013,R,Comedy,Robert Taleghany,Jeffrey T. Schoettlin,English,USA
American Made Movie,2013,G,Documentary,Nathaniel Thomas McGill,Ryan C. Wilson,English,USA
American Meat,2013,Not Rated,Documentary,Graham Meriwether,Graham Meriwether,English,USA
American Milkshake,2013,R,Comedy,David Andalman,David Andalman,English,USA
American Mustang,2013,PG,Documentary,Monty Miranda,Henry Ansbacher,English,USA
American Mustang,2013,PG,Documentary,Monty Miranda,Henry Ansbacher,English,USA
Amuse-Bouche,2013,TV-14,Crime,Michael Rymer,Bryan Fuller ,English,"USA, Canada"
An Amish Murder,2013,TV-PG,Drama,Stephen Gyllenhaal,Mark Malone,"English, German",USA
An Amish Murder,2013,TV-PG,Drama,Stephen Gyllenhaal,Mark Malone,English,USA
An Enemy of Fate,2013,TV-14,Drama,J.H. Wyman,J.J. Abrams ,English,"Canada, USA"
Anchored Skies,2013,Not Rated,Short,Andy Santos,Andy Santos,English,USA
Anchorman 2: The Legend Continues,2013,R,Comedy,Adam McKay,Will Ferrell,English,USA
Anchorman 2: The Legend Continues,2013,R,Comedy,Adam McKay,Will Ferrell,English,USA
And Now His Watch Is Ended,2013,TV-MA,Adventure,Alex Graves,George R.R. Martin ,English,USA
And Straight on 'til Morning,2013,TV-PG,Adventure,Dean White,Edward Kitsis ,English,USA
And the Life After Death,2013,TV-14,Comedy,Don Scardino,Michael Patrick King ,English,USA
And the Soft Opening,2013,TV-14,Comedy,Don Scardino,Michael Patrick King ,English,USA
And Then YOU Die!,2013,Not Rated,Horror,Brian Gaillard,Brian Gaillard ,English,USA
Anderson University's Candles & Carols,2013,TV-G,Music,David Armstrong,N/A,English,USA
Andrew,2013,TV-MA,Comedy,Christopher Morris,Tony Roche ,English,USA
Angel Avengers: Brimstone,2013,Not Rated,Short,John Gotschall,Bill Black,English,USA
Angels Sing,2013,PG,Comedy,Tim McCanlies,Lou Berney ,English,USA
Animus,2013,Not Rated,Short,Jeffrey Brant,Gil Costello,English,USA
Aningaaq,2013,PG,Short,Jonas Cuaron,Jon�s Cuar�n,"Greenlandic, English",USA
Anna,2013,R,Drama,Jorge Dorado,Guy Holmes,English,"USA, Spain, France"
Anniversary,2013,TV-PG,Drama,Mairzee Almas,Sherri Cooper-Landsman ,English,USA
Anonymous Was a Woman,2013,TV-14,Action,Terrence O'Hara,Donald P. Bellisario ,English,USA
Another Night with Neil Diamond,2013,TV-14,Comedy,James Widdoes,Chuck Lorre ,English,USA
Anslo Garrick (No. 16),2013,TV-14,Crime,Joe Carnahan,Jon Bokenkamp ,English,USA
Anslo Garrick: Conclusion,2013,TV-14,Crime,Michael W. Watkins,Jon Bokenkamp ,English,USA
Anthony Jeselnik/Lisa Lampanelli/Bobby Lee,2013,TV-14,Comedy,Jay Karas,Jesse Joyce,English,USA
Any Means Possible,2013,TV-14,Drama,Steven A. Adelson,Sherri Cooper-Landsman ,English,USA
Approaching Midnight,2013,PG,Crime,Sam Logan Khaleghi,Sam Logan Khaleghi,English,USA
Are We There Yet?,2013,TV-MA,Crime,Holly Dale,James Manos Jr. ,English,USA
Are You Here,2013,R,Comedy,Matthew Weiner,Matthew Weiner,English,USA
Are You Receiving?,2013,TV-14,Action,Larry Teng,J.H. Wyman ,English,USA
Ariel,2013,TV-PG,Adventure,Ciaran Donnelly,Edward Kitsis ,English,USA
Ariel,2013,TV-PG,Adventure,Ciaran Donnelly,Edward Kitsis ,English,USA
Armed Response,2013,R,Action,Adam Beamer,Adam Beamer,N/A,USA
Arrhythmia,2013,TV-14,Action,Jeff T. Thomas,J.H. Wyman ,English,USA
Arrow on the Doorpost,2013,TV-MA,Drama,David Boyd,Frank Darabont ,English,USA
Art Gods,2013,Not Rated,Documentary,Strephon Taylor,Strephon Taylor,English,USA
Art Gods,2013,Not Rated,Documentary,Strephon Taylor,Strephon Taylor,English,USA
As Cool as I Am,2013,R,Comedy,Max Mayer,Pete Fromm ,English,USA
As I Lay Dying,2013,R,Drama,James Franco,William Faulkner ,English,USA
As Time Goes By,2013,TV-14,Drama,Serge Ladouceur,Eric Kripke ,English,USA
Ascension,2013,TV-14,Crime,Terrence O'Hara,Shane Brennan ,English,USA
Assassins Run,2013,R,Action,Robert Crombie,Diana Cohen ,English,"USA, Russia"
Assaulted: Civil Rights Under Fire,2013,PG-13,Documentary,Kris Koenig,Kris Koenig,English,USA
Assignment: Witches Talisman,2013,Not Rated,Comedy,Kelly Helen Thompson,Jarrod J. Huffman ,English,USA
Asylum,2013,TV-14,Crime,Greg Beeman,Kenneth Biller ,English,USA
At Last,2013,TV-MA,Drama,Anthony Hemingway,Alan Ball ,English,USA
At Middleton,2013,R,Comedy,Adam Rodgers,Glenn German,English,USA
Atlanta to New York,2013,Not Rated,Comedy,Terence V. Steele,Terence V. Steele,"English, Spanish, French, Arabic",USA
Atlantic Rim,2013,Not Rated,Action,Jared Cohn,Richard Lima ,English,USA
Atonement,2013,TV-PG,Drama,Vincent Misiano,Nicholas Wootton ,English,USA
Attacked from Behind,2013,TV-PG,News,Ray Szuch,Ray Szuch,English,USA
Attempted Abduction,2013,TV-PG,News,Ray Szuch,Ray Szuch,English,USA
August: Osage County,2013,R,Drama,John Wells,Tracy Letts ,English,USA
Austenland,2013,PG-13,Comedy,Jerusha Hess,Jerusha Hess ,English,"UK, USA"
Auto Erotic,2013,TV-MA,Comedy,Jim Margolis,Jim Margolis,English,USA
Autumn Blood,2013,R,Drama,Markus Blunder,Stephen T. Barton,English,"Austria, USA"
Awful Nice,2013,R,Comedy,Todd Sklar,Alex Rennie,English,USA
Axe Giant Special,2013,TV-14,Talk-Show,Kristina Michelle,N/A,English,USA
Axe Giant: The Wrath of Paul Bunyan,2013,R,Fantasy,Gary Jones,Jeff Miller ,English,USA
Babes Behind Bars,2013,Not Rated,Documentary,Charles Band,Colin Rodgers,English,USA
Baby Geniuses and the Mystery of the Crown Jewels,2013,G,Family,Sean McNamara,Steven Paul,English,USA
Back in Action,2013,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
Back in Action,2013,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
Back to School,2013,TV-PG,Comedy,John Pasquin,Jack Burditt ,English,USA
Back to the Hustle,2013,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
Back to the Hustle,2013,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
Backfire,2013,TV-14,Crime,Frank Waldeck,Anthony E. Zuiker ,English,USA
Backyard Brawl,2013,PG-13,Short,Spencer Muhlstock,Spencer Muhlstock,English,USA
Bacon Bad,2013,Not Rated,Short,Paul Sadowski,Paul Sadowski,English,USA
Bad Blood,2013,TV-14,Drama,Steve Robin,Shonda Rhimes ,English,USA
Bad Boys,2013,TV-14,Drama,Kevin Parks,Eric Kripke ,English,USA
Bad Crazy,2013,TV-14,Comedy,Pamela Fryman,Carter Bays ,English,USA
Bad Dad,2013,TV-PG,Comedy,Jason Winer,John R. Montgomery ,English,USA
Bad Friend,2013,TV-MA,Comedy,Jesse Peretz,Lena Dunham,English,USA
Bad Influence,2013,TV-14,Comedy,Joseph Lawrence,David Kendall ,English,USA
Bad Milo,2013,R,Comedy,Jacob Vaughan,Benjamin Hayes,English,USA
Bad Trouble Here,2013,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
Bad Trouble Here,2013,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
Bad Words,2013,R,Comedy,Jason Bateman,Andrew Dodge,English,USA
Bada$$ Mothaf**kas,2013,Not Rated,Documentary,Charles Band,Leroy Patterson,English,USA
Baggage,2013,Not Rated,Short,Jeremiah Kipp,Rob Dimension ,English,USA
Baggage Claim,2013,PG-13,Comedy,David E. Talbert,David E. Talbert ,English,USA
Band or DJ?,2013,TV-14,Comedy,Pamela Fryman,Carter Bays ,English,USA
Banshee Chapter,2013,R,Horror,Blair Erickson,Blair Erickson,English,"Germany, USA"
Banshee Chapter,2013,R,Horror,Blair Erickson,Blair Erickson,English,"Germany, USA"
Bass Player Wanted,2013,TV-14,Comedy,Pamela Fryman,Carter Bays ,English,USA
Bath Salt Zombies,2013,Not Rated,Horror,Dustin Mills,Dustin Mills,English,USA
"Batman: The Dark Knight Returns, Part 2",2013,PG-13,Animation,Jay Oliva,Bob Kane ,English,USA
Battle of the Damned,2013,R,Action,Christopher Hatton,Christopher Hatton,English,"USA, Singapore"
Battle of the Year,2013,PG-13,Music,Benson Lee,Brin Hill,English,USA
Battle Tested,2013,Not Rated,Short,Colton Hayward,Colton Hayward,English,USA
Battledogs,2013,TV-14,Action,Alexander Yellen,Shane Van Dyke,English,USA
Bazinga! That's From a TV Show,2013,TV-14,Comedy,James Widdoes,Chuck Lorre ,English,USA
Beautiful Creatures,2013,PG-13,Drama,Richard LaGravenese,Richard LaGravenese ,English,USA
Beautiful People,2013,PG-13,Documentary,Harmony Bible,Harmony Bible,English,USA
Because the Night,2013,TV-14,Drama,Garreth Stover,Kevin Williamson ,English,USA
Bed Bugs,2013,TV-PG,Comedy,Wendey Stanzler,Will Gluck ,English,USA
Bed Bugs,2013,TV-PG,Comedy,Wendey Stanzler,Will Gluck ,English,USA
Bedtime Stories,2013,TV-14,Comedy,Pamela Fryman,Carter Bays ,English,USA
Beer Hunter: The Movie,2013,Not Rated,Documentary,John Richards,Alison Hodgson Richards ,English,"USA, UK, Ireland, France, Czech Republic, Belgium"
Beer Hunter: The Movie,2013,Not Rated,Documentary,John Richards,Alison Hodgson Richards ,English,"USA, UK, Ireland, France, Czech Republic, Belgium"
Before Midnight,2013,R,Drama,Richard Linklater,Richard Linklater,"English, Greek, French","USA, Greece"
Before You Know It,2013,Not Rated,Documentary,PJ Raval,N/A,English,USA
Begin Again,2013,R,Comedy,John Carney,John Carney,English,USA
Behind Closed Doors,2013,Not Rated,Drama,Jarrell Crump,Alyze Elyse,English,USA
Behind the Candelabra,2013,TV-MA,Biography,Steven Soderbergh,Richard LaGravenese ,English,USA
Behind the Red Curtain,2013,TV-14,Crime,Chris Long,Bruno Heller ,English,USA
Behold a Pale Rider,2013,TV-MA,Action,Dean White,Jonathan Tropper ,English,USA
Being Billy,2013,TV-14,Drama,James L. Conway,Rockne S. O'Bannon ,English,USA
Beneath,2013,Not Rated,Horror,Larry Fessenden,Tony Daniel,English,USA
Beneath the Harvest Sky,2013,Not Rated,Drama,Aron Gaudet,Aron Gaudet,English,USA
Ben's Big Gay-Care Adventure,2013,TV-14,Comedy,Michael Lembeck,Dan Berendsen ,English,USA
Berlin,2013,TV-14,Action,Terrence O'Hara,Donald P. Bellisario ,English,USA
Best Night Ever,2013,R,Comedy,Jason Friedberg,Jason Friedberg,English,USA
Betrayal,2013,TV-14,Action,Guy Norman Bee,Greg Berlanti ,English,USA
Better Angels,2013,TV-14,Action,Tony Wharmby,Donald P. Bellisario ,English,USA
Better to Lie,2013,TV-14,Action,Joe Chappelle,Michael Brandt ,English,USA
Betty White Goes Wild,2013,TV-G,Documentary,James Reed,N/A,English,USA
Big Ass Spider!,2013,PG-13,Comedy,Mike Mendez,Gregory Gieras,English,USA
Big Brother,2013,TV-14,Crime,Steven DePaul,Shane Brennan ,English,USA
Big Episode: Someone Stole a Spoon,2013,TV-14,Comedy,James Widdoes,Chuck Lorre ,English,USA
Big Episode: Someone Stole a Spoon,2013,TV-14,Comedy,James Widdoes,Chuck Lorre ,English,USA
"Big Hair, Long Lashes",2013,Not Rated,Drama,Jared Masters,Jared Masters ,N/A,USA
Big Man in Tehran,2013,TV-MA,Drama,Daniel Minahan,Howard Gordon ,English,USA
Big Sur,2013,R,Drama,Michael Polish,Jack Kerouac ,English,USA
Bilbo's Journey: A Catholic Travel Guide to the Hobbit,2013,TV-PG,Documentary,Michael Masny,Joseph Pearce,English,USA
Bill Bellamy's Ladies Night Out Comedy Tour,2013,TV-MA,Comedy,Scott L. Montoya,N/A,English,USA
Bill Cosby: Far from Finished,2013,TV-14,Comedy,Robert Townsend,N/A,English,USA
Bill Hicks Lives,2013,Not Rated,Comedy,Jay Douglas Guffey,Bill Hicks,English,USA
Billy Gardell Presents Road Dogs,2013,TV-MA,Comedy,David Higby,Billy Gardell,English,USA
Billy Gardell Presents Road Dogs: Las Vegas,2013,TV-MA,Comedy,David Higby,Billy Gardell,English,USA
Billy the Kid,2013,PG-13,Action,Christopher Forbes,Graye Bumgardner,English,USA
Birth of the Living Dead,2013,Not Rated,Documentary,Rob Kuhns,N/A,English,USA
Bitchcraft,2013,TV-MA,Drama,Alfonso Gomez-Rejon,Ryan Murphy ,English,USA
Black Badge,2013,TV-14,Action,David Grossman,Craig Silverstein ,English,USA
Black Cadillac,2013,TV-MA,Crime,John Dahl,David Hollander,English,USA
Black Friday,2013,TV-MA,Animation,Trey Parker,Trey Parker ,"English, Japanese",USA
Black Nativity,2013,PG,Drama,Kasi Lemmons,Langston Hughes ,English,USA
Blackfish,2013,PG-13,Documentary,Gabriela Cowperthwaite,Gabriela Cowperthwaite,"English, Spanish",USA
Blackfish,2013,PG-13,Documentary,Gabriela Cowperthwaite,Gabriela Cowperthwaite,"English, Spanish",USA
Black-Winged Redbird,2013,TV-14,Crime,Robert Duncan McNeill,Bruno Heller ,English,USA
Blaken,2013,TV-14,Comedy,Michael Blieden,Rob Corddry ,English,USA
Blaze You Out,2013,R,Action,Mateo Frazier,Mateo Frazier,English,USA
"Bless Me, Ultima",2013,PG-13,Drama,Carl Franklin,Rudolfo Anaya ,"English, Spanish",USA
Blind Circumstance,2013,Not Rated,Crime,Wesley Mellott,Andrew Glessner ,English,USA
Blind Circumstance,2013,Not Rated,Crime,Wesley Mellott,Andrew Glessner ,English,USA
Blind Faith,2013,TV-MA,Comedy,Adam Bernstein,Tom Kapinos ,English,USA
Blind-Sided,2013,TV-14,Comedy,David Platt,Aaron Korsh ,English,USA
Blockheads,2013,TV-PG,Comedy,Mitchell Hurwitz,Mitchell Hurwitz ,English,USA
Blood Brother,2013,Not Rated,Documentary,Steve Hoover,Phinehas Hodges,English,USA
Blood Brothers,2013,Not Rated,Short,Jason Miller,Jason Miller,English,USA
Blood Brothers,2013,TV-14,Action,Omar Madha,J.H. Wyman ,English,USA
Blood Brothers,2013,TV-14,Action,Omar Madha,J.H. Wyman ,English,USA
Blood Brothers,2013,TV-MA,Action,T.J. Scott,Allison Miller,English,USA
Blood First,2013,R,Action,Najaa Young,Najaa Young ,English,USA
Blood First,2013,R,Action,Najaa Young,Najaa Young ,English,USA
Blood in the Water,2013,TV-14,Comedy,Roger Kumble,Aaron Korsh ,English,USA
Blood Money,2013,TV-14,Crime,Bryan Cranston,Vince Gilligan ,English,USA
Blood Moon,2013,TV-14,Adventure,Ken Olin,Roberto Orci ,English,USA
Blood of 1000 Virgins,2013,Not Rated,Documentary,Charles Band,Leroy Patterson,English,USA
Blood of Redemption,2013,Not Rated,Action,Giorgio Serafini,Rey Reyes,English,USA
