Title,Year,Rating,Genre,Director,Writer,Language,Country
Vigilante,2013,Not Rated,Short,Alexander Soto,Alexander Soto,English,USA
Battledogs,2013,TV-14,Action,Alexander Yellen,Shane Van Dyke,English,USA
Girltrash: All Night Long,2014,Not Rated,Comedy,Alexandra Kondracke,Angela Robinson,English,USA
Horns,2013,R,Drama,Alexandre Aja,Keith Bunin ,English,"USA, Canada"
Gravity,2013,PG-13,Sci-Fi,Alfonso Cuaron,Alfonso Cuar�n,"English, Greenlandic","USA, UK"
Pilot,2014,TV-14,Drama,Alfonso Cuaron,Alfonso Cuar�n ,English,USA
Lie with Me,2013,TV-14,Comedy,Alfonso Gomez-Rejon,Candace Bushnell ,English,USA
Spilt Milk,2013,TV-MA,Drama,Alfonso Gomez-Rejon,Ryan Murphy ,English,USA
Madness Ends,2013,TV-MA,Drama,Alfonso Gomez-Rejon,Ryan Murphy ,English,USA
Bitchcraft,2013,TV-MA,Drama,Alfonso Gomez-Rejon,Ryan Murphy ,English,USA
The Town That Dreaded Sundown,2014,R,Horror,Alfonso Gomez-Rejon,Roberto Aguirre-Sacasa ,English,USA
The Replacements,2013,TV-MA,Drama,Alfonso Gomez-Rejon,Ryan Murphy ,English,USA
The Sacred Taking,2013,TV-MA,Drama,Alfonso Gomez-Rejon,Ryan Murphy ,English,USA
The Magical Delights of Stevie Nicks,2014,TV-MA,Drama,Alfonso Gomez-Rejon,Ryan Murphy ,English,USA
Go to Hell,2014,TV-MA,Drama,Alfonso Gomez-Rejon,Ryan Murphy ,English,USA
The Seven Wonders,2014,TV-MA,Drama,Alfonso Gomez-Rejon,Ryan Murphy ,English,USA
The Climb,2013,TV-MA,Adventure,Alik Sakharov,George R.R. Martin ,English,USA
Dress Code,2013,TV-MA,Crime,Alik Sakharov,James Manos Jr. ,English,USA
Warm and Dead,2013,TV-14,Action,Alik Sakharov,Michael Brandt ,English,USA
Resignation,2013,TV-MA,Crime,Alik Sakharov,Terence Winter ,English,USA
Mockingbird,2014,TV-MA,Adventure,Alik Sakharov,George R.R. Martin ,English,USA
The Laws of Gods and Men,2014,TV-MA,Adventure,Alik Sakharov,George R.R. Martin ,English,USA
Subtitles,2013,Not Rated,Short,Allan Duboux,Allan Duboux,English,USA
Red Menace,2014,TV-14,Drama,Allan Kroeker,Stephen Carpenter ,English,"USA, Canada"
Grown Man Business,2013,Not Rated,Short,Allan Zuniga,Allan Zuniga,English,USA
The Bag or the Bat,2013,TV-MA,Crime,Allen Coulter,Ann Biderman,English,USA
A Mouth Is a Mouth,2013,TV-MA,Crime,Allen Coulter,Ann Biderman,English,USA
Acres of Diamonds,2013,TV-MA,Crime,Allen Coulter,Terence Winter ,English,USA
The North Star,2013,TV-MA,Crime,Allen Coulter,Terence Winter ,English,USA
Havre de Grace,2013,TV-MA,Crime,Allen Coulter,Terence Winter ,English,USA
Broken City,2013,R,Crime,Allen Hughes,Brian Tucker,"English, Spanish",USA
Pilot,2014,TV-14,Action,Allen Hughes,Chris Morgan ,English,USA
The Red Barn,2013,TV-14,Crime,Allison Anders,Bruno Heller ,English,USA
The Dog,2013,Not Rated,Documentary,Allison Berg,N/A,English,USA
Masquerade,2013,TV-PG,Drama,Allison Liddi-Brown,Mike Kelley ,English,USA
Control,2013,TV-PG,Drama,Allison Liddi-Brown,Mike Kelley ,English,USA
Hau'oli La Ho'omoaika'i,2013,TV-PG,Action,Allison Liddi-Brown,Peter M. Lenkov ,English,USA
The Ghost in the Killer,2014,TV-14,Comedy,Allison Liddi-Brown,Hart Hanson ,English,USA
The State of the Union,2014,TV-14,Drama,Allison Liddi-Brown,Shonda Rhimes ,English,USA
Slavery Out of the Shadows: Spotlight on Human Trafficking,2013,Not Rated,Documentary,Allison Smith,Allison Smith,English,USA
The Rescue,2014,TV-14,Action,Alrick Riley,Michael Seitzman ,English,USA
Size Matters,2014,TV-14,Action,Alrick Riley,Michael Seitzman ,English,USA
In God's Hands,2014,TV-PG,Musical,Alvin Moore Jr.,N/A,English,USA
12/12/2012,2013,R,Documentary,Amir Bar-Lev,N/A,English,USA
Every Secret Thing,2014,R,Crime,Amy Berg,Nicole Holofcener ,English,USA
Hush Hush,2013,TV-14,Comedy,Amy Heckerling,Candace Bushnell ,English,USA
Express Yourself,2013,TV-14,Comedy,Amy Heckerling,Candace Bushnell ,English,USA
A Long Way Off,2014,PG,Drama,Andreas Wilcken Jr.,Jon Macy,English,USA
Snow Angels,2013,TV-14,Crime,Andrew Bernstein,Robert Doherty ,English,USA
Delivery Disaster,2013,Not Rated,Short,Andrew Blizzard,N/A,English,USA
Intramural,2014,R,Comedy,Andrew Disney,Bradley Jackson,English,USA
Moms' Night Out,2014,PG,Comedy,Andrew Erwin,Jon Erwin,English,USA
Barefoot,2014,PG-13,Comedy,Andrew Fleming,Stephen Zotnowski,English,USA
Barefoot,2014,PG-13,Comedy,Andrew Fleming,Stephen Zotnowski,English,USA
Pilot,2014,TV-14,Comedy,Andrew Fleming,Chad Kultgen ,English,USA
Pilot,2014,TV-MA,Comedy,Andrew Gurland,Andrew Gurland,English,USA
Looking for Now,2014,TV-MA,Comedy,Andrew Haigh,Michael Lannan,English,USA
Looking for Uncut,2014,TV-MA,Comedy,Andrew Haigh,Andrew Haigh,English,USA
Looking at Your Browser History,2014,TV-MA,Comedy,Andrew Haigh,Michael Lannan,English,USA
Looking Glass,2014,TV-MA,Comedy,Andrew Haigh,Michael Lannan,English,USA
Looking Glass,2014,TV-MA,Comedy,Andrew Haigh,Michael Lannan,English,USA
Lullaby,2014,R,Drama,Andrew Levitas,Andrew Levitas,English,USA
The Host,2013,PG-13,Adventure,Andrew Niccol,Andrew Niccol ,English,"USA, Switzerland"
Haunting of Cellblock 11,2014,R,Horror,Andrew P. Jones,Andrew P. Jones,English,USA
M Is for Meat Pie,2013,Not Rated,Short,Andrew Peters,Andrew Peters,English,USA
Ivory Tower,2014,PG-13,Documentary,Andrew Rossi,Andrew Rossi,English,USA
Young Bodies Heal Quickly,2014,Not Rated,Comedy,Andrew T. Betzer,Andrew T. Betzer,"English, French",USA
The Frankenstein Theory,2013,Not Rated,Horror,Andrew Weiner,Vlady Pildysh,English,USA
The Jewish Hunger Games: Kvetching Fire - Official Trailer,2013,Not Rated,Comedy,Andrew Zenn,Jack Michelman,English,USA
Oconomowoc,2013,Not Rated,Comedy,Andy Gillies,Andy Gillies,English,USA
Goblin Merchant Men,2013,TV-14,Drama,Andy Goddard,Cole Haddon ,English,USA
From Darkness to Light,2013,TV-14,Drama,Andy Goddard,Cole Haddon ,English,USA
Save Henry,2013,TV-PG,Adventure,Andy Goddard,Edward Kitsis ,English,USA
Ekimmu: The Dead Lust,2014,Not Rated,Horror,Andy Koontz,Andy Koontz,English,USA
Mr Hockey: The Gordie Howe Story,2013,PG,Biography,Andy Mikita,Malcolm MacRury,English,USA
Anchored Skies,2013,Not Rated,Short,Andy Santos,Andy Santos,English,USA
The Battle Within,2013,Not Rated,Short,Andy Santos,N/A,English,USA
Kiss Yesterday Goodbye,2013,TV-14,Comedy,Andy Wolk,Candace Bushnell ,English,USA
Under Pressure,2014,TV-14,Comedy,Andy Wolk,Candace Bushnell ,English,USA
Karma,2014,TV-MA,Drama,Angela Robinson,Alan Ball ,English,USA
3 Women,2013,Not Rated,Short,Angelique Marshall,Floyd Marshall Jr.,English,USA
Toy Story of Terror,2013,TV-G,Animation,Angus MacLane,Angus MacLane,English,USA
Valley of the Shadow,2014,Not Rated,Drama,Anna Marshall,Abigail Marshall,English,USA
The Open Road 4300 Miles,2014,Not Rated,Adventure,Anna Wilding,Anna Wilding,English,"USA, Canada"
The Color of Rain,2014,TV-14,Drama,Anne Wheeler,Gina Kell ,English,USA
Savannah,2013,PG-13,Drama,Annette Haywood-Carter,Ken Carter,English,USA
Wrestling with Disaster,2014,Not Rated,Documentary,Anthony Bruno,Anthony Bruno,English,USA
Home Sweet Hell,2014,R,Comedy,Anthony Burns,Carlo Allen,English,USA
Hansel & Gretel,2013,PG-13,Horror,Anthony C. Ferrante,Jose Prendes ,English,USA
Sharknado,2013,TV-14,Horror,Anthony C. Ferrante,Thunder Levin,English,USA
Sharknado 2: The Second One,2014,TV-14,Horror,Anthony C. Ferrante,Thunder Levin,English,USA
Spirit in the Woods,2014,Not Rated,Horror,Anthony Daniel,Anthony Daniel,English,USA
Missionary,2013,R,Drama,Anthony DiBlasi,Bruce Wood,English,USA
Movie Night,2013,Not Rated,Horror,Anthony Edward Curry,Anthony Edward Curry,English,USA
Louder Than Words,2013,PG-13,Drama,Anthony Fabian,Benjamin Chapin,English,USA
Louder Than Words,2013,PG-13,Drama,Anthony Fabian,Benjamin Chapin,English,USA
Rise of the Dinosaurs,2013,R,Action,Anthony Fankhauser,Rafael Jordan,English,USA
Duke,2013,R,Drama,Anthony Gaudioso,Anthony Gaudioso,English,USA
At Last,2013,TV-MA,Drama,Anthony Hemingway,Alan Ball ,English,USA
Red Team III,2013,TV-14,Drama,Anthony Hemingway,Aaron Sorkin ,English,USA
Some Kind of Ladies Man,2013,Not Rated,Short,Anthony J. Puglia,Sean S. Strain,English,USA
$chmooze or Lo$e,2014,TV-PG,Reality-TV,Anthony J. Sands,Robert Burton,English,USA
Contest,2013,PG,Drama,Anthony Joseph Giunta,Anthony Joseph Giunta ,English,USA
The Closet Reconfiguration,2013,TV-14,Comedy,Anthony Joseph Rich,Chuck Lorre ,English,USA
The Love Spell Potential,2013,TV-PG,Comedy,Anthony Joseph Rich,Chuck Lorre ,English,USA
The Indecision Amalgamation,2014,TV-14,Comedy,Anthony Joseph Rich,Chuck Lorre ,English,USA
The Mentor,2014,TV-14,Crime,Anthony Lefresne,Susan Atkinson,English,USA
Nothing Left to Fear,2013,R,Horror,Anthony Leonardi III,Jonathan W.C. Mills,English,USA
The 50 Best Horror Movies You've Never Seen,2014,Not Rated,Horror,Anthony Masi,N/A,English,USA
Back in Action,2013,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
Bad Trouble Here,2013,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
Back to the Hustle,2013,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
Seth in Charge,2013,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
Seth Snaps,2013,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
Computer Crash,2013,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
All-American Jewelry and Loan,2013,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
Breakdown at Tiffany's,2013,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
Gold Crash,2013,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
Harold's Gamble,2013,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
The Outsider,2013,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
Seth's Secret,2013,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
Bad Trouble Here,2013,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
Back to the Hustle,2013,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
Seth Snaps,2013,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
Computer Crash,2013,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
All-American Jewelry and Loan,2013,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
Breakdown at Tiffany's,2013,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
Gold Crash,2013,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
Back in Action,2013,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
Seth's Return,2013,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
Fishing for Trouble,2013,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
Scent of Deception,2013,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
Growing Pains,2014,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
Growing Pains,2014,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
Daddy Daughter Dance,2014,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
Daddy Daughter Dance,2014,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
Daddy Daughter Dance,2014,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
"Drama Online, Part 1",2014,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
"Drama Online, Part 1",2014,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
"Drama Online, Part 2",2014,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
Seth's Soft Side,2014,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
Guards Go Home,2014,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
"Seth's Gamble, Part 2",2014,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
"Seth's Gamble, Part 1",2014,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
Busted Deal,2014,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
New Blood,2014,TV-14,Reality-TV,Anthony Mastanduno,Richard Dominick ,English,USA
Knightmare,2014,Not Rated,Horror,Anthony Palma,Anthony Palma,English,USA
Captain America: The Winter Soldier,2014,PG-13,Action,Anthony Russo,Christopher Markus ,English,USA
Olympus Has Fallen,2013,R,Action,Antoine Fuqua,Creighton Rothenberger,"English, Korean",USA
A Most Wanted Man,2014,R,Thriller,Anton Corbijn,Andrew Bovell ,"English, Arabic","UK, USA, Germany"
Misery Loves Company,2013,TV-14,Comedy,Anton Cropper,Rob Thomas ,English,USA
There Will Be Blood,2013,TV-14,Crime,Anton Cropper,Bruno Heller ,English,USA
Suspicious Minds,2014,TV-14,Drama,Anton Cropper,Rick Eid,English,USA
Lust for Love,2014,Not Rated,Comedy,Anton King,Anton King,English,USA
Rushlights,2013,R,Crime,Antoni Stutz,Antoni Stutz,English,USA
Rushlights,2013,R,Crime,Antoni Stutz,Antoni Stutz,English,USA
Busk: The Heart of Street Performance,2013,Not Rated,Documentary,April Denee,April Den�e,English,USA
Busk: The Heart of Street Performance,2013,Not Rated,Documentary,April Denee,April Den�e,English,USA
Syrup,2013,R,Comedy,Aram Rappaport,Max Barry ,English,USA
The Face of Love,2013,PG-13,Drama,Arie Posin,Matthew McDuffie,English,USA
The Fall Guy,2013,TV-PG,Drama,Arlene Sanford,Elizabeth Kruger ,English,USA
Apophenia,2014,TV-14,Drama,Arlene Sanford,Kyle Killen ,English,USA
Debate,2014,TV-MA,Comedy,Armando Iannucci,David Quantick ,English,USA
Beneath the Harvest Sky,2013,Not Rated,Drama,Aron Gaudet,Aron Gaudet,English,USA
A Little Taste,2013,TV-14,Action,Arthur W. Forney,Michael Brandt ,English,USA
Poisoned Motive,2013,TV-14,Crime,Arthur W. Forney,Dick Wolf ,English,USA
Get My Cigarettes,2014,TV-14,Action,Arthur W. Forney,Michael Brandt ,English,USA
Shiva,2013,TV-14,Action,Arvin Brown,Donald P. Bellisario ,English,USA
Chasing Ghosts,2013,TV-14,Action,Arvin Brown,Donald P. Bellisario ,English,USA
Once a Crook,2013,TV-14,Action,Arvin Brown,Donald P. Bellisario ,English,USA
Devil's Triad,2013,TV-14,Action,Arvin Brown,Donald P. Bellisario ,English,USA
Rock and a Hard Place,2014,TV-14,Action,Arvin Brown,Donald P. Bellisario ,English,USA
Alleged,2014,TV-14,Action,Arvin Brown,Donald P. Bellisario ,English,USA
Devil's Knot,2013,Not Rated,Biography,Atom Egoyan,Paul Harris Boardman ,English,USA
Treasure Map,2013,TV-PG,Animation,Audie Harrison,Myke Chilian,English,USA
Vera,2013,Not Rated,Short,Austin Wood,Austin Wood,English,USA
Dream Realm Ent Tv,2013,Not Rated,Talk-Show,Avri Apocalypse,Avri Apocalypse,English,USA
Mindy's Minute,2013,TV-14,Comedy,B.J. Novak,Mindy Kaling ,English,USA
Mindy's Minute,2013,TV-14,Comedy,B.J. Novak,Mindy Kaling ,English,USA
Santa Fe,2013,TV-14,Comedy,B.J. Novak,Mindy Kaling ,English,USA
Armies of One,2014,TV-MA,Action,Babak Najafi,Jonathan Tropper ,English,USA
The Truth About Unicorns,2014,TV-MA,Action,Babak Najafi,Jonathan Tropper ,English,USA
2 Guns,2013,R,Action,Baltasar Kormakur,Blake Masters ,"English, Spanish",USA
The Genius of Marian,2013,TV-PG,Documentary,Banker White,N/A,English,USA
Walking with Dinosaurs 3D,2013,PG,Animation,Barry Cook,John Collee,English,"USA, UK, Australia, India"
The Humbling,2014,R,Drama,Barry Levinson,Buck Henry ,English,USA
Together,2014,TV-14,Drama,Bart Freundlich,Alfonso Cuar�n ,English,USA
Simon,2013,Not Rated,Short,Bastien Solignac,Bastien Solignac,English,USA
The Great Gatsby,2013,PG-13,Drama,Baz Luhrmann,Baz Luhrmann ,English,"Australia, USA"
The Great Gatsby,2013,PG-13,Drama,Baz Luhrmann,Baz Luhrmann ,English,"Australia, USA"
Do Not Disturb,2013,Not Rated,Horror,BC Furtney,BC Furtney,English,USA
Helsinki,2013,TV-MA,Comedy,Becky Martin,Ian Martin ,English,USA
Special Relationship,2014,TV-MA,Comedy,Becky Martin,Simon Blackwell ,English,USA
Apocalypse Pompeii,2014,Not Rated,Action,Ben Demaree,Steve Bevilacqua ,English,USA
Tammy,2014,R,Comedy,Ben Falcone,Melissa McCarthy,English,USA
We Come in Pieces,2014,PG-13,Documentary,Ben Hethcoat,N/A,English,USA
Run: The Musical,2014,Not rated,Short,Ben Hughes,Ben Hughes,English,USA
Ghost Team One,2013,R,Comedy,Ben Peyser,Andrew Knauer,English,USA
Ghost Team One,2013,R,Comedy,Ben Peyser,Andrew Knauer,English,USA
The Secret Life of Walter Mitty,2013,PG,Adventure,Ben Stiller,Steve Conrad ,English,USA
Family Weekend,2013,R,Comedy,Benjamin Epps,Matt K. Turner,English,USA
Intersection,2013,Not Rated,Short,Benjamin Garst,Benjamin Garst,N/A,USA
Dead Giveaway: The Motion Picture,2014,Not Rated,Comedy,Benjamin M. Allotey,Benjamin M. Allotey,English,USA
Dead Giveaway: The Motion Picture,2014,Not Rated,Comedy,Benjamin M. Allotey,Benjamin M. Allotey,English,USA
Foxcatcher,2014,R,Biography,Bennett Miller,E. Max Frye,English,USA
Brother from Another Mother,2013,TV-14,Comedy,Benny Boom,Rob Thomas ,English,USA
Battle of the Year,2013,PG-13,Music,Benson Lee,Brin Hill,English,USA
R.A.D.I.C.A.L.S,2014,G,Action,Berenika Maciejewicz,Dillaran Martin ,English,USA
WARx2,2014,PG-13,Documentary,Bernie Olaf,N/A,English,USA
Supermensch: The Legend of Shep Gordon,2013,R,Documentary,Beth Aala,N/A,English,USA
Matchup Problems,2013,TV-PG,Comedy,Beth McCarthy-Miller,Scott Silveri ,English,USA
Old School,2013,TV-14,Comedy,Beth McCarthy-Miller,Daniel J. Goor ,English,USA
The Maya Rudolph Show,2014,TV-14,Comedy,Beth McCarthy-Miller,David Javerbaum ,English,USA
Strange Brew,2013,TV-14,Comedy,Bethany Rooney,Rob Thomas ,English,USA
A Portrait of the Artist as a Young Call Girl,2013,TV-14,Comedy,Bethany Rooney,Rob Thomas ,English,USA
Who Says You Can't Go Home,2013,TV-PG,Comedy,Bethany Rooney,Leila Gerstein ,English,USA
